TIME,maxMagU,meanMagU,pLaplace,kErrL2Band,kErrLinfBand,minGradPsiBand
7.499062617e-06,0.002311435843,1.217214121e-05,70.59605311,70.64262942,127.2543179,0.9980828081
0.0002699662542,0.002481480742,3.650296398e-05,70.5879731,68.51238333,128.0310793,0.9967862657
0.0005324334458,0.001139862345,2.428469674e-05,70.56939854,67.81758767,124.8850057,0.9948854493
0.0007949006374,0.001037988608,2.066958908e-05,70.57596476,66.83401109,130.1147398,0.9940102664
0.001064866892,0.00109262452,1.834190886e-05,70.56382391,66.82640665,135.925803,0.9939467573
0.001327334083,0.0005911609897,1.314968054e-05,70.57444189,67.21528815,144.6042101,0.9936741412
0.001589801275,0.0006823940124,1.110017427e-05,70.58303413,67.11220401,149.7247838,0.9939375724
0.001852268466,0.00113245162,1.518084035e-05,70.58297981,67.0847184,148.2081069,0.9936199542
0.002114735658,0.001540281843,2.358124986e-05,70.58198094,66.91498459,149.1229974,0.9940260644
0.00237720285,0.001931777489,2.852460208e-05,70.58350792,67.03726117,151.306973,0.9948444515
0.002639670041,0.001484582161,2.935095396e-05,70.58332464,67.33587292,151.59861,0.9958893886
0.002909636295,0.001302843259,3.182043663e-05,70.58057972,67.61060691,151.1423586,0.9958939183
0.003172103487,0.001362379795,3.363985911e-05,70.57979331,67.9391096,149.1000243,0.9955734802
0.003434570679,0.001434475009,3.806476833e-05,70.57503311,68.03376089,148.3780566,0.9948604841
0.00369703787,0.001488937511,4.540007182e-05,70.56783855,68.06163134,148.7925824,0.9938360951
0.003959505062,0.001181920888,4.947030025e-05,70.56146424,67.94803862,147.7017518,0.9929753687
0.004221972253,0.00125690048,5.218382625e-05,70.55343458,67.76556225,146.1188557,0.9917339463
0.004484439445,0.00100781416,4.89182197e-05,70.54775693,67.70814245,144.8562266,0.9904751773
0.004754405699,0.0008430798973,4.24390469e-05,70.54482414,67.66799332,144.5285641,0.9894580245
0.005016872891,0.0006007145183,3.426814982e-05,70.54277239,67.71620237,143.3257763,0.9886620548
0.005279340082,0.0006009586417,2.786898587e-05,70.53573543,67.68813759,140.4595328,0.9879683534
0.005541807274,0.0005778395714,2.612768032e-05,70.53704806,67.66213107,137.2259407,0.9874037622
0.005804274466,0.0005337214959,2.563375907e-05,70.53891512,67.73528086,134.8246616,0.9869339153
0.006066741657,0.0004925778762,2.397233709e-05,70.53840685,67.85904703,132.6890046,0.9865262603
0.006336707912,0.0004323780621,2.186505974e-05,70.53353447,67.96125781,130.2380346,0.9860391197
0.006599175103,0.0004979115529,2.184812791e-05,70.52798924,68.0914071,128.5702251,0.9856190125
0.006861642295,0.0006260431897,2.701499737e-05,70.52695723,68.20343628,127.9077871,0.9851423293
0.007124109486,0.0008386651354,3.590969188e-05,70.52300823,68.26163,127.7140198,0.984459335
0.007386576678,0.0009951441219,4.393182445e-05,70.51598093,68.28738349,127.4790275,0.9836440936
0.00764904387,0.0009393137551,4.577216643e-05,70.50844967,68.41509094,127.1375818,0.9827182448
0.007911511061,0.0007307116992,4.103636419e-05,70.50498834,68.60967644,127.2007076,0.9818717376
0.008181477315,0.0005290151761,3.37186026e-05,70.50614959,68.86970058,126.8318451,0.9811191398
0.008443944507,0.0005150698881,2.8518135e-05,70.50416018,69.06142581,125.3103876,0.9804518776
0.008706411699,0.0005219250458,2.704027749e-05,70.50554367,69.20343217,123.0621599,0.9798804511
0.00896887889,0.0005042185774,2.702694226e-05,70.5075912,69.34211411,120.7936139,0.979378406
0.009231346082,0.0004915403407,2.596029092e-05,70.50971842,69.53907091,122.9618336,0.9789232153
0.009493813273,0.0003960375053,2.338723094e-05,70.50915183,69.71647419,125.8346319,0.9784373831
0.009756280465,0.0005270548463,2.292744207e-05,70.50516515,69.8747059,127.8680684,0.9779355004
0.01002624672,0.0007729748915,2.872926518e-05,70.50365552,70.04577074,129.0931994,0.9774287116
0.01028871391,0.0009214281983,3.78650898e-05,70.49673074,70.23093892,129.0482908,0.9767793659
