TIME,maxMagU,meanMagU,pLaplace,kErrL2Band,kErrLinfBand,minGradPsiBand
7.499062617e-06,0.002308714534,1.215719991e-05,70.59518766,70.52814331,127.0860955,0.9980828081
0.0008473940757,0.0008235075256,1.703789519e-05,70.56857615,66.34889415,130.8311426,0.9947814243
0.001694788151,0.0007835417927,1.180475044e-05,70.57386946,66.44628434,146.3985474,0.9949438236
0.002534683165,0.001930316376,3.412912265e-05,70.57411606,66.3877284,150.1922327,0.9964657668
0.00338207724,0.00205388234,5.124325608e-05,70.55842953,67.24714091,150.3864245,0.9933922826
0.004221972253,0.00179109465,6.612152144e-05,70.53889596,67.39190173,150.1478264,0.9880591652
0.005069366329,0.001053611203,5.642723076e-05,70.53125523,68.01807695,148.3024095,0.9827591017
0.005909261342,0.001107414079,4.918161949e-05,70.53708838,69.02398909,142.5079839,0.9787444548
0.006756655418,0.001353543189,5.607947776e-05,70.52632443,70.69826991,137.455501,0.974907816
0.007596550431,0.001588569732,7.25608183e-05,70.50959571,73.3499292,135.2502317,0.9698405584
0.008443944507,0.001410502903,7.233778342e-05,70.50737567,77.21188835,133.2885347,0.9641587095
0.00928383952,0.001418645051,6.994844259e-05,70.50705566,81.72462117,152.6244585,0.9588901184
0.0101312336,0.001672943206,7.584315693e-05,70.49954503,86.2907925,184.1439917,0.953630755
0.01097112861,0.001845581319,8.940957062e-05,70.4820654,92.49594808,229.6684084,0.9474617234
0.01181852268,0.001791327075,9.380145874e-05,70.46939154,100.4529029,285.2955225,0.9407390803
0.0126584177,0.001761506491,9.224051788e-05,70.46863577,109.0038214,338.0580027,0.9342583229
0.01350581177,0.001919302433,9.660660147e-05,70.4631362,117.6302797,387.8131742,0.927662489
0.01434570679,0.002151213842,0.0001092462787,70.44240753,127.8557136,448.4371796,0.9204059334
0.01519310086,0.002209007365,0.0001170368997,70.42238197,140.304987,521.2508179,0.9124951499
0.01603299588,0.002154542367,0.0001171282775,70.41669626,153.5900076,594.7360365,0.9046377354
0.01687289089,0.002299029457,0.0001214285114,70.40943475,167.1289835,667.7629913,0.8966473781
0.01772028496,0.002560416754,0.0001338999902,70.38437208,182.5406769,752.4597057,0.8879702383
0.01856017998,0.00267187373,0.0001440544528,70.35571393,200.4953917,851.2429246,0.8787170236
0.01940757405,0.002650671045,0.0001463674086,70.33997068,223.4284,957.0050582,0.869213295
0.02024746907,0.002777649273,0.0001511135619,70.3285689,244.1976957,1065.462565,0.859609072
0.02109486314,0.003043570082,0.0001635423164,70.29824547,267.3387533,1188.05526,0.8493743503
0.02193475816,0.003196287964,0.0001753660742,70.25792859,293.8207099,1329.262441,0.8385559842
0.02278215223,0.003204496414,0.0001799456793,70.22894646,323.2319913,1485.334838,0.8273583658
0.02362204724,0.003322119488,0.0001854024553,70.20797642,354.2526264,1649.964656,0.8161011468
0.02446944132,0.003576693425,0.0001974352924,70.17041834,388.8271323,1835.03575,0.8042780689
0.02530933633,0.003730409015,0.0002099708264,70.11751095,428.1048819,2046.547602,0.7919424168
0.02615673041,0.003754247034,0.0002164115183,70.07128387,670.4995123,2690.57833,0.7791842007
0.02699662542,0.003859255198,0.0002221797178,70.03701585,739.9120902,2971.514534,0.7664041029
0.0278440195,0.004067675283,0.0002328709988,69.9921739,818.5913598,3289.398035,0.7531646646
0.02868391451,0.004201270807,0.0002450493555,69.92834343,907.7583601,3638.136359,0.7394008666
0.02953130859,0.004224344553,0.0002532011964,69.86399898,1010.027951,4000.753655,0.7246625329
0.0303712036,0.004308898527,0.0002594228199,69.81340858,1126.489331,4387.281464,0.7096384853
0.03121859768,0.004435462267,0.0002670988128,70.29182941,1263.826189,4870.499805,0.6948726357
0.03205849269,0.004493102695,0.0002747537463,70.24014406,1423.160373,5471.986567,0.6808393972
0.0328983877,0.004418877807,0.0002783784886,70.19696998,1608.865788,6200.633471,0.6674646871
0.03374578178,0.004300700601,0.0002783192686,70.17492677,1828.232001,7069.564134,0.6547115516
