velocityExtension,reconstruction,solver,phaseIndicator,T,h,maxCellSize,cfl,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out
none,uncachedQuadraticWeightedLeastSquares,leiaSemiLagrangeLevelSetFoam,detrixheAslam,3.0,0.0078125,0.0078125,0.5,3.88152523922,2.40802764893e-05,0.000219128206857,0.0138452276946,2.25399243004,2.63558914039,0.00755149512861,0.827490258169,0.13912246822,,,,,,,,
none,uncachedQuadraticWeightedLeastSquares,leiaSemiLagrangeLevelSetFoam,detrixheAslam,3.0,0.0125,0.0125,0.5,2.83715481447,7.6049337362e-05,0.00155342394851,0.02292856882,1.70164071905,2.61173101016,0.0416211355448,0.779510737617,0.183259923116,,,,,,,,
none,uncachedQuadraticWeightedLeastSquares,leiaSemiLagrangeLevelSetFoam,detrixheAslam,3.0,0.02,0.02,0.5,1.86884182733,0.00095642494233,0.0137209319493,0.0276412211171,1.51572860831,2.44533295611,0.0837806373955,0.838155343942,0.159098396708,,,,,,,,
none,uncachedQuadraticWeightedLeastSquares,leiaSemiLagrangeLevelSetFoam,detrixheAslam,3.0,0.03125,0.03125,0.5,1.1783122766,0.00162837113064,0.0230515764228,0.0394128721539,1.41801237704,2.28867064931,0.141916476803,0.821893225793,0.147062218722,,,,,,,,
