method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+dc:3,none,,,,leiaLevelSetFoam,,0.1,0.0078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,oscillatingDroplet2D,oscillatingDroplet2D_00004,1,e946ef5-dirty,2026-08-13T08:00:30+00:00,,0,0.0240596,,,,leastSquares,Gauss linear,3 (solver default),
euler+dc:3,none,,,,leiaLevelSetFoam,,0.1,0.0078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,oscillatingDroplet2D,oscillatingDroplet2D_00005,1,e946ef5-dirty,2026-08-13T08:00:30+00:00,,0,0.0241721,,,,leastSquares,Gauss linear,3 (solver default),
euler+dc:3,none,,,,leiaLevelSetFoam,,0.1,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,oscillatingDroplet2D,oscillatingDroplet2D_00002,1,e946ef5-dirty,2026-08-13T08:00:30+00:00,,0,0.0231221,,,,leastSquares,Gauss linear,3 (solver default),
euler+dc:3,none,,,,leiaLevelSetFoam,,0.1,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,oscillatingDroplet2D,oscillatingDroplet2D_00003,1,e946ef5-dirty,2026-08-13T08:00:30+00:00,,0,0.0222948,,,,leastSquares,Gauss linear,3 (solver default),
euler+dc:3,none,,,,leiaLevelSetFoam,,0.1,0.03125,,,10.0,99.98150342186696,,1.2734492e-10,0.0066196993,,,,0.0041757704,,,,,,,,,,,,,,,,,,,,,,,oscillatingDroplet2D,oscillatingDroplet2D_00000,1,e946ef5-dirty,2026-08-13T08:00:30+00:00,,1,0.100018,,,,leastSquares,Gauss linear,3 (solver default),
euler+dc:3,none,,,,leiaLevelSetFoam,,0.1,0.03125,,,10.0,99.98150342186696,,1.2605372e-10,0.0051402699,,,,0.0027083731,,,,,,,,,,,,,,,,,,,,,,,oscillatingDroplet2D,oscillatingDroplet2D_00001,1,e946ef5-dirty,2026-08-13T08:00:30+00:00,,1,0.100018,,,,leastSquares,Gauss linear,3 (solver default),
