series,N,RoverH,La,nu,steps,maxt_L2,maxt_Linf,maxt_L1,maxt_shape,gitCommit
convergence,64,12.8,12000,0.005773502692,1563,0.004433248319,0.04861816282,0.001861462179,0.000815201501,fa213a5
convergence,128,25.6,12000,0.005773502692,4419,0.002491668942,0.03363904033,0.001066211979,0.0002082663699,fa213a5
convergence,256,51.2,12000,0.005773502692,12500,0.001256144508,0.02470528301,0.0004750057864,7.565951646e-05,fa213a5
LaSweep,64,12.8,119.99999999568752,0.05773502692,1563,0.00250040874,0.02928871938,0.001218383807,0.0007309016501,fa213a5
LaSweep,64,12.8,1200.0000004608148,0.01825741858,1563,0.0034917578,0.0396192125,0.001581730675,0.0007828067512,fa213a5
LaSweep,64,12.8,11999.999999568754,0.005773502692,1563,0.004433248319,0.04861816282,0.001861462179,0.000815201501,fa213a5
LaSweep,64,12.8,inf,0.0,1563,0.005397161029,0.05883803453,0.002179828135,0.0007984330268,fa213a5
