method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr
euler+SDPLS:beta(1.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,1884.0,942.0,1.17119843488,,0.211798982305,1.50033559181,1.44003619131,1.56513689609,0.0022488110048,0.0898561960523,0.218608514641,2.41178210439,2.48704092349,3.0257953247,3.47699406034,-2.72899308612,-0.479803453576,2.71947067298,-2.18868499114,-0.842425411434,2.64340748546,1.5,0,UpwindUext,,,,,,,,sdplsBetaSweep,2Dvortex_00018,4,a2175d1-dirty,2026-08-12T15:32:10+00:00,off,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta(2)/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,1623.0,811.5,1.76843267487,,0.229308888288,2.10602384092,2.14571150243,2.07712465752,0.00209382354653,0.162281174456,0.300557448776,3.02360619269,2.99836988528,3.78286134496,4.20277746082,-2.73141604901,-0.488607076355,0.684112011878,-2.2290799398,-0.843609635382,2.68260165093,2.0,0,UpwindUext,,,,,,,,sdplsBetaSweep,2Dvortex_00019,4,a2175d1-dirty,2026-08-12T15:32:10+00:00,off,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta(0.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.011111111111111112,,0.5,1079.0,539.7799181226263,0.447674893625,,0.18827592014,0.370674863,0.550346340184,0.730497781208,0.0192890066681,0.0473621761506,0.357714511431,1.13977943416,1.61435885533,1.59437824291,2.21973258179,-2.70853714749,-0.445633567012,2.82192263678,-1.99505687504,-0.829434937638,0.451314597923,0.5,0,UpwindUext,,,,,,,,sdplsBetaSweep,2Dvortex_00012,4,a2175d1-dirty,2026-08-12T15:32:10+00:00,off,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.011111111111111112,,0.5,1098.0,549.2848471720516,0.782658986445,,0.258215009503,0.792643086751,0.921925031052,1.18597659434,0.0202534746579,0.0789329849424,0.455761814572,1.65835261521,2.07839845383,2.22939275332,2.88838288927,-2.54759250109,-0.444245147338,1.93362884117,-2.0806997961,-0.830727702686,0.451673653321,1.0,0,UpwindUext,,,,,,,,sdplsBetaSweep,2Dvortex_00013,4,a2175d1-dirty,2026-08-12T15:32:10+00:00,off,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta(1.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.011111111111111112,,0.5,1276.0,638.3310245824571,1.17590624974,,0.321185014729,1.34050664548,1.40352502646,1.70223740563,0.0204095367668,0.109666411091,0.564375080824,2.22951259542,2.59736948941,2.9051179029,3.6301423517,-2.48512334552,-0.446532332035,1.93616874306,-2.16703274116,-0.832015883268,0.451989333479,1.5,0,UpwindUext,,,,,,,,sdplsBetaSweep,2Dvortex_00014,4,a2175d1-dirty,2026-08-12T15:32:10+00:00,off,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta(2)/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.011111111111111112,,0.5,1137.0,568.7949646945561,1.70437836009,,0.372587507479,1.94647433543,1.93426124768,2.25211355295,0.019953044951,0.134230198995,0.678742798455,2.84896770486,3.14630286791,3.64148528833,4.42555928172,-2.64882065569,-0.460393272675,2.61851856518,-2.25876216706,-0.829905072692,0.532146095671,2.0,0,UpwindUext,,,,,,,,sdplsBetaSweep,2Dvortex_00015,4,a2175d1-dirty,2026-08-12T15:32:10+00:00,off,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta(0.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.015625,,0.5,813.0,406.5965151403035,0.432779041686,,0.108033566179,0.36304697154,0.499865003118,0.691655620092,0.0452159117581,0.0225749682787,0.172990177113,0.943200220436,1.55535976509,1.5145286567,2.1098069698,-2.85392071898,-0.508200432515,1.8725436365,-2.56918031002,-0.800023579947,0.831441861911,0.5,0,UpwindUext,,,,,,,,sdplsBetaSweep,2Dvortex_00008,4,a2175d1-dirty,2026-08-12T15:32:10+00:00,off,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.015625,,0.5,898.0,449.1066058991298,0.712192523335,,0.243081348538,0.623405859034,0.849706290622,1.14468995581,0.0529619394461,0.0913172044162,0.234641540666,1.40527858465,2.01787503882,2.04747320947,2.76302735283,-2.81996562401,-0.512966707489,2.76657472293,-2.58339143551,-0.801304857916,0.59714529457,1.0,0,UpwindUext,,,,,,,,sdplsBetaSweep,2Dvortex_00009,4,a2175d1-dirty,2026-08-12T15:32:10+00:00,off,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta(1.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.015625,,0.5,820.0,410.09734614397155,1.14530205164,,0.366337403292,1.12896165182,1.2696635089,1.68119067831,0.0596072892654,0.130855908558,0.479680531436,1.96736971785,2.56949897735,2.72114511311,3.49538127875,-2.63917426114,-0.474863725475,2.68063077902,-2.4174360645,-0.801767806414,0.70430297156,1.5,0,UpwindUext,,,,,,,,sdplsBetaSweep,2Dvortex_00010,4,a2175d1-dirty,2026-08-12T15:32:10+00:00,off,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta(2)/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.015625,,0.5,927.0,463.6100486286117,1.62797843017,,0.478691746876,1.71149350007,1.91494103562,2.26692680079,0.064798736065,0.202011852588,0.600480352026,2.56929051015,3.15432688044,3.44563511768,4.28324498671,-2.72191078567,-0.44871833596,2.3677171561,-2.49246958302,-0.804627340323,0.881936131786,2.0,0,UpwindUext,,,,,,,,sdplsBetaSweep,2Dvortex_00011,4,a2175d1-dirty,2026-08-12T15:32:10+00:00,off,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta(0.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.022222222222222223,,0.5,562.0,281.0,0.457776734182,,0.175151537468,0.4535208174,0.50036566348,0.583827607238,0.0518812164622,0.030062935904,0.154048900584,0.762677838514,1.40877270451,1.67897179616,2.01242645537,-2.35641571967,-0.419587692936,2.18701886593,-2.47056155361,-0.790857414802,2.1674226241,0.5,0,UpwindUext,,,,,,,,sdplsBetaSweep,2Dvortex_00004,4,a2175d1-dirty,2026-08-12T15:32:10+00:00,off,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.022222222222222223,,0.5,512.0,256.0,0.710777529713,,0.0504136350284,0.541048558761,0.837523716982,1.00514005686,0.0720802171374,0.064418464555,0.208398727985,1.19701021124,1.85829447623,2.16527366828,2.61837328943,-2.48948169837,-0.431041250458,1.56233105155,-2.5379958306,-0.794523049482,2.30821275792,1.0,0,UpwindUext,,,,,,,,sdplsBetaSweep,2Dvortex_00005,4,a2175d1-dirty,2026-08-12T15:32:10+00:00,off,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta(1.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.022222222222222223,,0.5,549.0,274.5,1.09590939421,,0.243318834994,0.902582044848,1.26805638308,1.5053462338,0.0918371312381,0.0518763207292,0.197749924049,1.64476857414,2.35466963669,2.95977812454,3.31173642498,-2.98732437532,-0.495218721751,1.18317674931,-2.58475718655,-0.787619937425,2.39346671501,1.5,0,UpwindUext,,,,,,,,sdplsBetaSweep,2Dvortex_00006,4,a2175d1-dirty,2026-08-12T15:32:10+00:00,off,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta(2)/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.022222222222222223,,0.5,571.0,285.5,1.60153228422,,0.46505130677,1.44911979973,1.74359610744,2.07810989414,0.110657541803,0.119428787789,0.274924766862,2.22834145873,2.92602529436,3.62551718208,4.08516152044,-3.06701609373,-0.525790422416,0.932365808406,-2.58218603037,-0.792189842222,2.45802245973,2.0,0,UpwindUext,,,,,,,,sdplsBetaSweep,2Dvortex_00007,4,a2175d1-dirty,2026-08-12T15:32:10+00:00,off,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta(0.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.03125,,0.5,425.0,213.02784593751826,0.442959573835,,0.85484056494,0.551220788746,0.503608057849,0.510339279207,0.00121481031566,0.0155892206151,0.195823010216,0.60846503708,1.19783370608,1.34664316473,1.9240844541,-2.33934477272,-0.552524030221,0.524473385729,-2.81668926216,-0.844911669256,1.79969791662,0.5,0,UpwindUext,,,,,,,,sdplsBetaSweep,2Dvortex_00000,4,a2175d1-dirty,2026-08-12T15:32:10+00:00,off,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.03125,,0.5,463.0,232.0750415742846,0.664500890454,,0.508834933898,0.547432254515,0.829121223497,0.843716647303,0.0402654589633,0.0410449748031,0.222413246314,0.933903489608,1.58574179685,2.16521926348,2.50242059532,-1.62163144864,-0.392429231239,2.64831305122,-2.8324182649,-0.834546690403,2.29072762427,1.0,0,UpwindUext,,,,,,,,sdplsBetaSweep,2Dvortex_00001,4,a2175d1-dirty,2026-08-12T15:32:10+00:00,off,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta(1.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.03125,,0.5,505.0,253.12720517281582,1.05066790244,,0.172175732526,0.858726078653,1.25589701497,1.31419382945,0.084528430597,0.00842996958687,0.255929499188,1.48167924047,2.07463369033,2.92274104064,3.2205912828,-2.90216751739,-0.544009768308,0.499458422197,-2.84742182251,-0.829423950802,2.60279190992,1.5,0,UpwindUext,,,,,,,,sdplsBetaSweep,2Dvortex_00002,4,a2175d1-dirty,2026-08-12T15:32:10+00:00,off,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta(2)/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.03125,,0.5,438.0,219.5439918132541,1.48036961247,,0.134260476167,1.33075220239,1.72947492199,1.8410095829,0.132876995353,0.130028194519,0.304674818578,2.03693715471,2.61091760508,3.84412250878,4.05848313508,-2.83319615049,-0.510952347112,0.661601499166,-2.56968995443,-0.82221543082,2.55075609505,2.0,0,UpwindUext,,,,,,,,sdplsBetaSweep,2Dvortex_00003,4,a2175d1-dirty,2026-08-12T15:32:10+00:00,off,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
