case,mesh,study,arm,reconstruction,cfl,h,maxCellSize,stable,shapeError,volumeError,gradientError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,meanStrainBand,meanStrainBandHalf
2Dvortex,hex,benchVortexEulerT2,euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.015625,,1,0.000530583392575,0.0577980398293,,,1.50681872249,0.171957339033,0.0334537543919,0.330288808769,0.46420557179,0.968370824836,1.10996216828,1.41537698447,1.32837827846,-0.024113208158,0.0438144832903
2Dvortex,hex,benchVortexEulerT2,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.015625,,1,0.000312867013041,0.00551291477047,,,0.489652373581,0.595843204781,0.0044766496604,0.38468400378,0.346162122572,0.868004997179,1.49818384951,1.51244793359,2.22650816004,0.0402196805845,0.043600899681
2Dvortex,hex,benchVortexEulerT2,euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.015625,,1,0.000312853418102,0.00551556567317,,,0.4896971631,0.595843590006,0.00447686470627,0.384688036534,0.346154856868,0.868008206492,1.49818384059,1.51244800666,2.22658916839,0.0402176137567,0.0436007928472
2Dvortex,hex,benchVortexEulerT2,euler+div:linearUpwind/grad(psi)+dc:3,,0.5,0.03125,,1,0.000784836311905,0.0257484321583,,,0.897568095508,1.22226933142,0.0516195168712,0.731876371834,0.187880126876,0.91494499884,1.88089265732,1.10437384656,3.46490103031,-0.103707186588,-0.0214747673854
2Dvortex,hex,benchVortexEulerT2,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.03125,,1,0.0010883872232,0.0597275505177,,,1.18711885353,0.343815104763,0.0389685344764,0.241265951074,0.127574683838,0.823975636367,1.07056330436,1.39498791071,1.84521851332,-0.173981446577,-0.0255615237633
2Dvortex,hex,benchVortexEulerT2,euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.03125,,1,0.00108615526015,0.0602182701241,,,1.14660221568,0.343918334328,0.0389916872355,0.240830347116,0.127574706512,0.824837570494,1.07049615071,1.39561650696,1.84544957081,-0.176209270803,-0.0255461100249
2Dvortex,hex,benchVortexEulerT2,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.03125,,1,0.00149833425378,0.147731825516,,,0.535258538163,0.683303856036,0.0486000527376,0.461733338476,0.251792977018,0.952693304522,1.51626196736,1.67741479903,2.43500258156,-0.0885854751877,-0.0248593817478
2Dvortex,hex,benchVortexEulerT2,euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.03125,,1,0.00149839390918,0.147744338849,,,0.535267498872,0.683296745698,0.0486022444732,0.461739995126,0.251801700857,0.952702834737,1.51625407394,1.67742652018,2.43499685571,-0.0885875699001,-0.0248593965641
2Dvortex,hex,benchVortexEulerT8,euler+div:linearUpwind/grad(psi)+dc:3,,0.5,0.001953125,,1,0.000305098019869,0.0213847133702,,,4.92990630908,8.49925513407,0.00859034162717,0.846813484091,0.0728642687976,1.01366417518,8.94988462368,1.17501444864,13.6645146113,-0.00826791759374,0.00214952255433
2Dvortex,hex,benchVortexEulerT8,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.001953125,,1,0.000726950831839,0.0877488303023,,,9.87486666843,0.196554259406,0.0312761627716,0.0578628110246,0.0172306461981,0.955348626047,1.09503534754,1.78083958274,1.44115356883,-0.00554463783596,0.00215300929756
2Dvortex,hex,benchVortexEulerT8,euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.001953125,,1,0.00072743580359,0.0878036845198,,,9.43117387304,0.196629853783,0.0312491640215,0.0576880798724,0.0172571458792,0.94896878507,1.09518400925,1.77787027591,1.44108444901,-0.0115229154118,0.00215294447123
2Dvortex,hex,benchVortexEulerT8,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.001953125,,0,0.000419559801957,0.00790876260905,,,2.58136171958,0.20386467791,0.00595886108484,0.0330994270662,0.16145597672,21.7492223928,1.16922035033,7436.14186255,1.68003056003,-0.00908210489208,0.00216504402263
2Dvortex,hex,benchVortexEulerT8,euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.001953125,,0,0.000419364385007,0.00788135274723,,,2.40435900953,0.203864606562,0.00595886609302,0.116539033724,0.161456928715,16.4432205931,1.16922030659,7726.2879108,1.68002939616,-0.00908074932318,0.00216504373858
2Dvortex,hex,benchVortexEulerT8,euler+div:linearUpwind/grad(psi)+dc:3,,0.5,0.00390625,,1,0.00103543900977,0.0164495831711,,,4.77575983328,7.4142820967,0.0142624946961,0.69894893001,0.153647971605,0.910105375835,7.84954045276,1.05781146175,12.7069748196,-0.0599263340883,-0.00382915234732
2Dvortex,hex,benchVortexEulerT8,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.00390625,,1,0.0013129466573,0.112771019649,,,5.39112316013,0.25330825508,0.0682385739788,0.0395471757601,0.016755546202,0.690276075708,0.99693598686,1.49030481043,1.51271922684,-0.0714822581292,-0.00347805904174
2Dvortex,hex,benchVortexEulerT8,euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.00390625,,1,0.00130166810704,0.111503080372,,,6.47280751497,0.253527754025,0.0683184391875,0.0390443121553,0.0167344391844,0.693300922963,0.99683326075,1.50296797612,1.5131189665,-0.0629188561458,-0.00347766275914
2Dvortex,hex,benchVortexEulerT8,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.00390625,,0,0.00154546652147,0.177876593945,,,0.813534998396,0.322743312832,0.105232433391,0.111632056284,0.106013789002,1.47131328591,1.28177537208,211.366965062,2.04793370098,-0.0163087007495,-0.00330303335632
2Dvortex,hex,benchVortexEulerT8,euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.00390625,,0,0.00154521717827,0.177876463385,,,0.741072985034,0.322742698855,0.105232650166,0.195350051093,0.10601813427,0.813907500248,1.2817750176,1.8239163085,2.04793076231,-0.0162971330098,-0.00330302769402
2Dvortex,hex,benchVortexEulerT8,euler+div:linearUpwind/grad(psi)+dc:3,,0.5,0.0078125,,1,0.00219951112707,0.237540481249,,,4.43948681466,4.90872750588,0.17403794567,0.565914095877,0.086517249724,0.690414709117,5.28899979968,0.936212010896,10.5929667298,-0.143360144119,-0.00210217055604
2Dvortex,hex,benchVortexEulerT8,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.0078125,,1,0.00298311653586,0.152476275515,,,3.23059377561,0.453439463936,0.0982676250132,0.0377533092569,0.00998675399582,0.481407515828,0.871367940438,1.93282117223,2.20212497393,-0.210711620664,-0.00171133375527
2Dvortex,hex,benchVortexEulerT8,euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.0078125,,1,0.0030002613474,0.150139996701,,,3.22680772927,0.453264799151,0.0979867630781,0.0362187265944,0.00986673623427,0.469254832775,0.871169310414,1.82960337892,2.2020635596,-0.226485556419,-0.00170867696843
2Dvortex,hex,benchVortexEulerT8,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.0078125,,0,0.00523724242142,0.672613246279,,,1.52373373306,0.366097762281,0.438422285791,0.240365507578,0.108814856861,0.940312360334,1.31662220819,1.84449362416,1.95845674701,-0.0416448843955,-0.00209064772474
2Dvortex,hex,benchVortexEulerT8,euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.0078125,,0,0.00523885826704,0.672730366773,,,1.56252648438,0.366101899201,0.438423807897,0.240371104072,0.108808582804,0.9375023908,1.31662370897,1.84551103405,1.9586730125,-0.0377655957351,-0.00209064356236
2Dvortex,hex,benchVortexEulerT8,euler+div:linearUpwind/grad(psi)+dc:3,,0.5,0.015625,,1,0.0070434828554,1,,,3.59166611846,1.34514618846,0.968051465912,nan,0.0164551339533,nan,1.73121958571,nan,4.67453666775,nan,-0.00224655416526
2Dvortex,hex,benchVortexEulerT8,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.015625,,1,0.00649294523231,0.921837302029,,,2.35388808757,0.529979430462,0.765594426831,0.0613629824212,0.015005585116,0.360391249217,0.704573113503,1.05323025492,1.95662676277,-0.144795141938,-0.00362586120274
2Dvortex,hex,benchVortexEulerT8,euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.015625,,1,0.0065243942725,0.926302286304,,,2.53798986327,0.533909147179,0.771756171198,0.0595582794466,0.0248112138805,0.324820115081,0.691478840222,1.08801461138,1.95749823568,-0.247948651331,-0.00357677288173
2Dvortex,hex,benchVortexEulerT8,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.015625,,0,0.00958847861039,1.04995750889,,,0.496369268951,0.305480193435,0.618903920957,0.255202352423,0.0594833814526,1.07825738715,1.13340464227,1.75894559358,1.63387533907,-0.175125176677,-0.00384262002794
