method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.006211180124223602,,0.5,21828.0,7276.515282961291,0.804790147724,0.000646737944385,0.00335689388499,0.435439035602,1.23438116144,0.476145202905,0.00289225619142,0.331121747462,0.443338214274,0.739290830539,1.42657740214,1.78701321189,2.62578819441,-2.69074209837,0.0219480489713,3.0962378095,-0.0438665470856,-0.0132364778279,0.0270364856951,1.0,,,,,,,,,,sdplsConv3Dshear,3Dshear_00028,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.006211180124223602,,0.5,20831.0,6944.158413934701,0.80441657005,0.000646735931389,0.00335678379003,0.43543897804,1.23427732081,0.476145261577,0.00289224979108,0.331122036523,0.443338749663,0.739290885769,1.42657743852,1.7870111496,2.62576934754,-2.6907409321,0.0219478951145,3.09623759171,-0.0438665225861,-0.0132364784485,0.0270360453595,1.0,,,,,,,,,,sdplsConv3Dshear,3Dshear_00029,16,a2175d1-dirty,2026-08-12T17:47:05+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.0078125,,0.5,13064.0,4354.666666666667,0.317044927368,0.00052315924697,0.00469791348447,0.0371379690023,1.4119569786,2.54872789826,0.0138122642612,0.910501044104,0.29172603094,0.999329272456,3.22605343977,1.15215112963,5.56931172506,-2.71123139782,-0.0584676709997,3.0917451343,-0.000891612424986,-0.000370312629933,0.000727164161423,,,,,,,,,,,sdplsConv3Dshear,3Dshear_00018,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.0078125,,0.5,14030.0,4676.666666666667,0.317044927368,0.00052315924697,0.00469791348447,0.0371379690023,1.4119569786,2.54872789826,0.0138122642612,0.910501044104,0.29172603094,0.999329272456,3.22605343977,1.15215112963,5.56931172506,-2.71123139782,-0.0584676709997,3.0917451343,-0.000891612424986,-0.000370312629933,0.000727164161423,,,,,,,,,,,sdplsConv3Dshear,3Dshear_00019,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.0078125,,0.5,14806.0,4935.333333333333,2.8048989454,0.00138810411799,0.0667688116049,0.259958586959,2.74546916227,0.163916805531,0.0330959006589,0.229811531506,0.172470912102,0.944433957599,1.06849749735,1.57349163575,1.29843563643,-2.70113466208,-0.0638452867991,3.07478735238,-0.00122106034673,-0.000364252620404,0.00117093085301,,,,,,,,,,,sdplsConv3Dshear,3Dshear_00020,16,a2175d1-dirty,2026-08-12T17:47:05+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.0078125,,0.5,15000.0,5000.0,2.81575773648,0.00138810260027,0.0667709934643,0.259932351774,2.7523834993,0.163917026442,0.033094087337,0.229883572654,0.172637800835,0.944424113934,1.06850151626,1.57701749692,1.29843244852,-2.70134322149,-0.0639631954338,3.07547691764,-0.00122106567461,-0.000364254609445,0.00117083475665,,,,,,,,,,,sdplsConv3Dshear,3Dshear_00021,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.0078125,,0.5,14456.0,4818.666666666667,0.808097061583,0.000972155544363,0.00860764542426,0.417426414891,0.826267819203,0.505437870858,0.0017335084195,0.326629264561,0.290246910312,0.761228211927,1.4424334917,1.8418094147,2.55016410528,-2.75197322355,0.0270817745782,3.10043905575,-0.00102100661994,-0.00036462938658,0.00108249978069,1.0,,,,,,,,,,sdplsConv3Dshear,3Dshear_00022,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.0078125,,0.5,14902.0,4967.333333333333,0.800207289792,0.000972150454165,0.0086079306122,0.417426446764,0.825207159949,0.505438048559,0.00173346361294,0.326629726187,0.290246561206,0.761228280319,1.44243359045,1.84184934994,2.55026789396,-2.75197280081,0.0270815161674,3.10043854593,-0.00102100610361,-0.000364629365562,0.00108249694604,1.0,,,,,,,,,,sdplsConv3Dshear,3Dshear_00023,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.00980392156862745,,0.5,10924.0,3641.3333333333335,0.31738195901,0.0008517294973,0.00165007448981,0.0442187588507,1.40327688694,2.5114154219,0.022710634831,0.920092526377,0.220389417673,0.987130934612,3.1742681004,1.13857276711,5.55372038598,-2.69303580269,-0.089562219256,3.07857089943,-0.047336094113,-0.0141498546826,0.0296336451539,,,,,,,,,,,sdplsConv3Dshear,3Dshear_00012,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.00980392156862745,,0.5,10655.0,3551.6666666666665,0.31738195901,0.0008517294973,0.00165007448981,0.0442187588507,1.40327688694,2.5114154219,0.022710634831,0.920092526377,0.220389417673,0.987130934612,3.1742681004,1.13857276711,5.55372038598,-2.69303580269,-0.089562219256,3.07857089943,-0.047336094113,-0.0141498546826,0.0296336451539,,,,,,,,,,,sdplsConv3Dshear,3Dshear_00013,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.00980392156862745,,0.5,11473.0,3824.3333333333335,2.35985431255,0.00182338893395,0.0811616210008,0.267229868882,2.46685883929,0.188091278751,0.0479923940706,0.251612727153,0.160369079872,0.888269647155,1.06099004259,1.53301041403,1.33918006035,-2.67845824455,-0.0934363079746,3.07811885493,-0.0480048034722,-0.0139209855479,0.0309469764244,,,,,,,,,,,sdplsConv3Dshear,3Dshear_00014,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.00980392156862745,,0.5,12462.0,4154.0,2.38553482226,0.00182373173592,0.0811816385605,0.267094871633,2.49000891929,0.188095796819,0.0479962575176,0.252671457166,0.160213327708,0.888418926324,1.06099922591,1.53316746092,1.33918022668,-2.67918725019,-0.0934756959948,3.07770773189,-0.0480306821308,-0.0139207557829,0.0309400795681,,,,,,,,,,,sdplsConv3Dshear,3Dshear_00015,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.00980392156862745,,0.5,13187.0,4395.666666666667,0.741446629344,0.00143550319697,0.043995048329,0.393926304521,0.514770564739,0.575807750415,0.0094402941613,0.337913623121,0.390022544753,0.786594969588,1.49760455978,1.72671780613,2.38138297113,-2.59486276355,0.00174055553952,3.11674728439,-0.0497884966858,-0.0139976845243,0.029619931083,1.0,,,,,,,,,,sdplsConv3Dshear,3Dshear_00016,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.00980392156862745,,0.5,11389.0,3796.3333333333335,0.747163117998,0.00143549837899,0.0439953512694,0.39392610785,0.516181869772,0.575808443541,0.00944038657955,0.337914225824,0.390023167269,0.786594917786,1.49760501278,1.72671258682,2.38138495413,-2.59485925013,0.00174052398006,3.11674715741,-0.0497885318851,-0.0139976827613,0.0296209109861,1.0,,,,,,,,,,sdplsConv3Dshear,3Dshear_00017,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.012345679012345678,,0.5,8347.0,2783.2114030582425,0.31889372711,0.00129322161267,0.0124847440118,0.0556645682378,1.3909655857,2.40123096704,0.0412596644778,0.893038658813,0.157050512866,0.964302284616,3.05175083692,1.14172164794,5.69202739787,-2.64895040521,-0.109756374797,3.08490786756,-0.0364335694189,-0.0109263187225,0.0261876531596,,,,,,,,,,,sdplsConv3Dshear,3Dshear_00006,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.012345679012345678,,0.5,8215.0,2739.197517206597,0.31889372711,0.00129322161267,0.0124847440118,0.0556645682378,1.3909655857,2.40123096704,0.0412596644778,0.893038658813,0.157050512866,0.964302284616,3.05175083692,1.14172164794,5.69202739787,-2.64895040521,-0.109756374797,3.08490786756,-0.0364335694189,-0.0109263187225,0.0261876531596,,,,,,,,,,,sdplsConv3Dshear,3Dshear_00007,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
