method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,surfaceTensionForce,psiDdt,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,gradientErrorMax,gradientErrorMaxHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.0078125,,0.5,4.0,4.0052237030593085,2.63291460643,,0.0255060005543,0.18831817123,2.02942482356,0.0408951859715,40.4632741098,35.7767099866,0.00177563008435,0.0699742648266,0.783954843803,1.10933258116,1.00797149436,1.36922599979,1.14514687027,-2.70346217139,-0.849173343497,2.46403653811,-3.01188490469,-1.42491477873,2.62633440476,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00018,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+volCorr:newtonShift+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.0078125,,0.5,4.0,4.0052237030593085,2.81984037321,,6.14047348139e-16,0.195563146496,2.40998802493,0.0405815250416,37.4342730024,50.4246329991,0,0.0562493068718,0.783955595859,1.10416356555,1.00843721855,1.36883514279,1.14527378763,-2.50611709257,-0.845053124936,2.54759966789,-3.01187338508,-1.42572038414,2.62632598706,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00019,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.011111111111111112,,0.5,1.0,1.0,1.60739910445,,0.00636197143389,2.71990327657,0.751982033649,1.28343493454,4.59060847547,2.35715971695,0.00153894957971,0.332080860346,0.34297314358,3.42453417548,2.00777053387,5.59060847547,3.35715971695,-2.55832862348,-0.827859555905,0.510574432095,-3.03845668134,-1.42711800535,2.41851488163,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00012,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+volCorr:newtonShift+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.011111111111111112,,0.5,1.0,1.0,1.60739910445,,4.84317696625e-14,2.72009921087,0.751982033649,1.28343493454,4.59060847547,2.35715971695,3.2476328794e-13,0.556072635984,0.34297314358,3.4255059457,2.00777053387,5.59060847547,3.35715971695,-1.91427495446,-0.829590070249,0.510574432095,-3.03845668134,-1.42711800535,2.41851488164,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00013,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.011111111111111112,,0.5,1.0,1.0,2.39203580036,,0.0489070883262,0.23026749446,1.69401727465,0.087410492838,26.7244618327,31.4693431623,0.000261143384949,0.251373348295,0.760282457715,1.07538616208,1.04818253757,1.37049208615,1.31112199878,-2.65709419822,-0.842158568519,2.08204924622,-3.0155414229,-1.42191760103,2.58745258376,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00014,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+volCorr:newtonShift+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.011111111111111112,,0.5,2.0,2.0,2.19355379299,,1.33199658899e-12,0.227971616779,1.55696087816,0.0874444868737,19.2815262903,22.3658820952,4.42523783718e-15,0.233933824029,0.759552323157,1.06242984343,1.04819119873,1.37106469767,1.31121635286,-2.09854998999,-0.842875884227,0.483411690352,-3.01554931685,-1.42221131314,2.58750968441,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00015,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.015625,,0.5,1.0,1.0,1.56031484652,,0.0194562405292,2.41516779626,0.746324738947,1.27993719916,4.30043542455,2.38538222279,0.000927828678274,0.194954825543,0.371479351599,3.13327369476,1.98587764739,5.30043542455,3.38538222279,-2.16256137055,-0.785309842868,2.25712109977,-3.08423858707,-1.38722598949,2.70376643545,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00008,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+volCorr:newtonShift+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.015625,,0.5,1.0,1.0,1.56031484652,,1.02293150037e-11,2.45636173642,0.746324738947,1.28233563451,4.30043542455,2.38538222279,2.30623839974e-12,0.194954825544,0.371479351599,3.18185619961,1.99005740651,5.30043542455,3.38538222279,-2.16256137055,-0.791584065611,0.873117352817,-3.08423858707,-1.38823250404,2.70376643545,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00009,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.015625,,0.5,0.0,0.0,1.91051083006,,0.0581179882226,0.291998201061,1.23597974359,0.136068234957,16.1211640985,7.86181047643,0.0134705409575,0.162587632447,0.689109939802,1.04085084282,1.09617322969,1.77780316609,1.30579624099,-2.17284770574,-0.786892663721,1.67731113695,-2.99308038737,-1.36092601712,2.55352041428,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00010,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+volCorr:newtonShift+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.015625,,0.5,1.0,1.0,1.77876127487,,3.60565251732e-13,0.28486640428,1.31249914861,0.138586295281,11.4000038621,9.98303337182,7.01920059725e-15,0.167135060703,0.688178690697,1.03175597971,1.09881888153,1.77484326737,1.3056065635,-2.160884241,-0.787680988471,0.60296962148,-2.99307513475,-1.36404137855,2.55405621275,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00011,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.022222222222222223,,0.5,1.0,1.0027726449158911,1.488284603,,0.0790724535754,2.04802266295,0.734570003405,1.22094406208,4.05498674186,2.34393679151,0.00223565712222,0.253458225915,0.358589900171,2.72784197729,1.93472014921,5.0274993104,3.34393679151,-2.57231212514,-0.833270421975,1.11676849,-3.10282153515,-1.39803320887,1.91154218641,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00004,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+volCorr:newtonShift+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.022222222222222223,,0.5,1.0,1.0027726449158911,1.488284603,,3.70661469298e-16,2.05416347801,0.734570003405,1.22094406208,4.05498674186,2.34393679151,2.47107646198e-15,0.253458225914,0.35858990017,2.7335446384,1.93472014921,5.05498674186,3.34393679151,-2.57231212514,-0.806184407348,1.11676849,-3.10282153515,-1.39803320887,1.91154218641,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00005,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.022222222222222223,,0.5,1.0,1.0027726449158911,1.64380935833,,0.00955240518904,0.391687061198,1.15403302849,0.15947918384,9.07101237253,7.14597695996,0.0359565647416,0.0395121326546,0.620696704477,0.994616300969,1.09426364512,2.02657141771,1.30278352831,-2.55029560159,-0.773900779978,2.33354960658,-2.99308099909,-1.37163259906,2.65128219115,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00006,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+volCorr:newtonShift+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.022222222222222223,,0.5,1.0,1.0027726449158911,1.67942554108,,3.70661469298e-16,0.392756611743,1.11180510542,0.158246630169,12.1553356063,7.99485963726,1.23553823099e-16,0.0368903852422,0.626956547869,0.995582181321,1.08690607182,2.03305764782,1.28761780685,-2.25684512525,-0.763359121335,2.13879934953,-2.99536118452,-1.36937990638,2.65142142552,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00007,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.03125,,0.5,0.0,0.0,1.38387165165,,0.244821435357,1.59990364597,0.717676540494,1.0839282713,4.10077259792,2.216358533,0.0115455756895,0.178421236794,0.305102781852,2.14451956087,1.77840263289,4.57978214322,3.216358533,-2.67407975191,-0.809319546049,1.11483809435,-3.10219292455,-1.28562018401,2.51611410027,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00000,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+volCorr:newtonShift+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.03125,,0.5,0.0,0.0,1.38387165165,,3.21367598815e-12,1.71440080418,0.717676540495,1.0839282713,4.10077259792,2.21635853301,1.42266925622e-12,0.178421236797,0.305102781853,2.28751918538,1.7784026329,4.77848155345,3.21635853301,-2.67407975191,-0.80852263549,1.11483809436,-3.10219292455,-1.28562018401,2.51611410027,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00001,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.03125,,0.5,0.0,0.0,1.31788686575,,0.137549766366,0.450846413647,0.962768980212,0.222838396837,6.24639208413,4.82858995715,0.0531600062186,0.0225786812706,0.464598088097,0.95306494263,1.05490168194,2.09375871186,1.43518340045,-2.25138587897,-0.722099323346,2.35174182293,-3.09037851675,-1.33048384459,2.29134738106,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00002,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+volCorr:newtonShift+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.03125,,0.5,0.0,0.0,1.28171795847,,4.78166297058e-14,0.440304930155,0.990483149846,0.23400853369,5.66617207082,4.85556227631,3.73567419577e-15,0.15932429024,0.342382915835,0.994157071711,1.02661971005,2.09744311468,1.43962753821,-2.23687406618,-0.766790750906,1.72954278844,-3.08666482914,-1.28629534342,2.36476029665,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00003,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
