method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+div:linearUpwind/grad(psi):lsq+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.0055248618784530384,,0.5,1002.0,1002.5201076754744,1.65377808042,,0.00372341755522,2.82255617451,0.75386872209,1.26246167587,0.00049248697575,0.170845041042,0.353099970355,3.53860916017,1.99928943092,5.80088893578,3.29740851594,-2.65637608272,-0.875650870589,0.441045731765,-3.02325544331,-1.44452664982,2.66326577156,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00024,4,a2175d1-dirty,2026-08-12T17:03:19+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),leastSquares,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi):lsq+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.0055248618784530384,,0.5,1043.0,1043.541389526467,3.69850917998,,0.00418598230805,0.134998072248,2.84648565444,0.0244799479026,0.000141723099006,0.308842886608,0.872260825431,1.06160257378,1.00134060044,1.38873958914,1.10626248153,-2.64726203916,-0.867660495563,1.50475393345,-3.00783435311,-1.44062214507,2.66602347041,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00025,4,a2175d1-dirty,2026-08-12T17:03:19+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),leastSquares,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi):clGauss+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.0055248618784530384,,0.5,1036.0,1036.5377560397121,1.65400606605,,0.00351612407866,2.83903898564,0.754070864763,1.26248269198,0.000491742256452,0.152717495284,0.353099979384,3.55370642313,1.99930521755,5.79168202424,3.2974127659,-2.68510691848,-0.872947660676,0.441045782586,-3.02325542252,-1.44452944019,2.66326574032,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00038,4,a2175d1-dirty,2026-08-12T17:03:19+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited Gauss linear 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi):clGauss+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.0055248618784530384,,0.5,1042.0,1042.5408704569304,3.49952709752,,0.00606213526069,0.151587780629,2.40622317519,0.0241930927376,0.000151304921078,0.327803227161,0.872093321337,1.07345815272,1.00167754662,1.40838979745,1.10474852596,-2.68800610363,-0.871213718186,1.49611616298,-3.00752031056,-1.44064207661,2.66618876902,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00039,4,a2175d1-dirty,2026-08-12T17:03:19+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited Gauss linear 1,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi):flLsq+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.0055248618784530384,,0.5,1110.0,1110.576167185406,1.63219115761,,0.0240319502097,2.77133805782,0.755764249692,1.29275362183,0.000988312455137,0.143769064975,0.316662556296,3.42632696464,1.99665340544,6.2887379026,3.82240907047,-2.30818309303,-0.814041406406,2.72773013325,-3.13394511859,-1.44792120857,2.43141006983,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00052,4,a2175d1-dirty,2026-08-12T17:03:19+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),faceLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi):flLsq+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.0055248618784530384,,0.5,1308.0,1308.6789429536134,3.20235758595,,0.0288445210668,0.181493471396,2.62822873341,0.143354115722,0.0112451888439,0.129826029246,0.548878280454,1.01765173024,1.02713904047,1.41776254383,1.81930921061,-2.61939683194,-0.859082604969,0.452602054202,-3.12287454643,-1.43731879258,2.64562559903,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00053,4,a2175d1-dirty,2026-08-12T17:03:19+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),faceLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.0078125,,0.5,722.0,722.9428784022052,1.63727735026,,0.00381886085417,2.85967365626,0.752206753393,1.2633196813,0.00099840659511,0.12834259073,0.356562019285,3.56877064217,1.99448790866,5.75926528879,3.30194424998,-1.97466664583,-0.824910187976,2.62819287672,-3.04073572386,-1.42601175041,2.60253575032,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00008,4,a2175d1-dirty,2026-08-12T17:03:19+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.0078125,,0.5,738.0,738.9637732144425,2.63291460643,,0.0255060005543,0.18831817123,2.02942482356,0.0408951859715,0.00177563008435,0.0699742648266,0.783954843803,1.10933258116,1.00797149436,1.36922599979,1.14514687027,-2.70346217139,-0.849173343497,2.46403653811,-3.01188490469,-1.42491477873,2.62633440476,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00009,4,a2175d1-dirty,2026-08-12T17:03:19+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi):lsq+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.0078125,,0.5,964.0,965.2589124372935,1.63732580857,,0.00444407396837,2.81927398498,0.75185705009,1.26364544886,0.000990727384214,0.12899143171,0.356562020049,3.51751604158,1.99471824757,5.75133280016,3.30209482562,-2.72286604203,-0.855296151438,2.69121196161,-3.04073565374,-1.42603536418,2.60253571586,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00022,4,a2175d1-dirty,2026-08-12T17:03:19+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),leastSquares,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi):lsq+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.0078125,,0.5,768.0,769.0029509873873,2.84195949864,,0.020464967731,0.179926536282,2.10047893377,0.039788597967,0.00175687233811,0.126459862258,0.781367966311,1.09203570911,1.00726042109,1.36221301403,1.15234446556,-2.69086613681,-0.857598997777,2.39592623746,-3.01061514447,-1.42529496889,2.62632637173,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00023,4,a2175d1-dirty,2026-08-12T17:03:19+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),leastSquares,leastSquares,Gauss linear,3,off
