method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,gradientErrorMax,gradientErrorMaxHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+SDPLS:R/simpleImp+n:pcLsq+nmod:narrowLS+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0055248618784530384,,0.5,10.0,5.000866374519954,2.06823021689,9.20175832257e-05,0.00463151518555,0.0964316143901,2.04399662798,0.0695264802962,29.1802044113,33.9447389282,0.000458445513633,0.572153812424,0.592451276091,0.980519952062,1.03707911125,1.21234829289,1.27856702157,-2.78557196173,-0.0204130369566,2.78389346833,-0.0129196449165,0.000142766174589,0.0245438462191,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00023,4,aad3284-dirty,2026-08-17T07:34:27+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,pointCellsLeastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+n:gauss+nmod:narrowLS+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0055248618784530384,,0.5,9.0,4.500779737067959,3.86613117498,8.75534233315e-05,0.00441994241288,0.0961299215216,3.21971383597,0.0691353750275,74.1903832834,75.8066504628,0.000704561668407,0.56580012672,0.588562607852,0.971100588748,1.03608946806,1.18545716028,1.2584972943,-2.7866670772,-0.0210556323352,2.78447072046,0,0.000243202491187,0.0421986770359,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00028,4,aad3284-dirty,2026-08-17T07:34:27+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,Gauss linear,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,4.0,2.0,2.83456591529,0.000119150533748,0.00592480286796,0.147685992268,2.33311087257,0.0958200614704,53.4241194165,42.6389525621,9.99111209309e-05,0.468423599653,0.646646918025,0.980818267567,1.04968337784,1.21636392985,1.27615299939,-2.80558560079,0.00529087770725,2.79871948755,-0.0248820081157,0.012828132323,0.0291701773526,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00002,4,aad3284-dirty,2026-08-17T07:34:27+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+n:pcLsq+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,4.0,2.0,1.69327834189,0.000125068581837,0.00679248494995,0.143741444308,1.90319693989,0.0928540082387,23.1330953482,31.0914567733,7.28821816825e-05,0.477527109208,0.655264164148,0.989645334384,1.04781866584,1.24198804718,1.27165837211,-2.80587999828,0.000794979378986,2.79875495938,-0.0253937341641,0.012870353837,0.0293156491645,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00007,4,aad3284-dirty,2026-08-17T07:34:27+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,pointCellsLeastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+n:gauss+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,4.0,2.0,2.76980741322,0.000118927056771,0.00588951965969,0.147493747397,2.82451462295,0.0960215270917,50.7047845756,49.4125524262,0.000104579909806,0.468787531732,0.646801160678,0.981036016413,1.04987323773,1.21628707472,1.27655236469,-2.80559081242,0.00510518772146,2.79873146419,-0.0248625849095,0.0128286958901,0.0291724996938,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00012,4,aad3284-dirty,2026-08-17T07:34:27+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,Gauss linear,Gauss linear,3,on
euler+SDPLS:R/simpleImp+nmod:narrowLS+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,4.0,2.0,2.47284007784,0.000144349297663,0.0084705654671,0.124569449236,2.49223649316,0.11939625935,39.3544701275,34.3024882149,0.000170632307631,0.552911724554,0.56380110407,0.970187745587,1.0787080153,1.18276199604,1.32031810731,-2.80365427052,0.0219495232427,2.53827306374,0,9.14635434151e-05,0.0139698984527,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00017,4,aad3284-dirty,2026-08-17T07:34:28+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+n:pcLsq+nmod:narrowLS+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,4.0,2.0,1.59338230044,0.000148814704659,0.00911011956791,0.121758412785,1.72930712132,0.116648281526,17.7619243092,21.3066459182,0.000375940096862,0.555260391921,0.568757108092,0.980410827462,1.07655417831,1.20553071603,1.31570631638,-2.80719991603,0.0454731007973,2.70790079474,0,0.000132154564619,0.0171570184176,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00022,4,aad3284-dirty,2026-08-17T07:34:27+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,pointCellsLeastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+n:gauss+nmod:narrowLS+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,4.0,2.0,2.87698619451,0.000143993869857,0.00836871658124,0.124560021225,2.95983949119,0.119567865213,49.881228373,51.9141792787,0.000167458500241,0.55360568544,0.56405450327,0.970610480733,1.07889110936,1.1827293271,1.3200184108,-2.80365887434,0.0219600262116,2.54463806261,0,9.14638555073e-05,0.0139699356108,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00027,4,aad3284-dirty,2026-08-17T07:34:27+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,Gauss linear,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.011111111111111112,,0.5,2.0,1.0,2.3135592801,0.000253508567811,0.0278850888408,0.206978623767,2.03026465607,0.135424463888,51.2195018961,38.5829585491,0.0116976587342,0.442777104241,0.602119599555,1.01030032281,1.08877321018,1.40777305745,1.33110723319,-2.84804334623,0.0236576604865,2.82979452027,-0.0416427567297,0.0202039458161,0.0468016712835,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00001,4,aad3284-dirty,2026-08-17T07:34:27+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+n:pcLsq+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.011111111111111112,,0.5,2.0,1.0,1.28102023688,0.00025390974915,0.0282525329555,0.201876145496,1.53833805074,0.132289637404,17.176353351,14.5871379956,0.0112768132461,0.44901376643,0.607177256736,1.01763717281,1.08474538833,1.40682064402,1.33819616443,-2.85140090975,-0.00850042510668,2.83101701394,-0.0401660647598,0.0203405612161,0.047206173344,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00006,4,aad3284-dirty,2026-08-17T07:34:27+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,pointCellsLeastSquares,Gauss linear,3,on
