case,mesh,arm,T,study,reconstruction,cfl,nLevels,stableLevels,hMin,hMax,hLimit,shapeOrder,volumeOrder,gradientOrder,gradientBandOrder,gradientHalfOrder,gradientBandHalfOrder,volumeHalfOrder
2Dvortex,hex,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi):lsq+dc:3,1,sdplsOrderAblation,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi):lsq+dc:3,0.5,7,6,0.00390625,0.0222222,,,1.903,-0.633,0.774,-0.622,1.414,3.392
2Dvortex,hex,euler+div:linearUpwind/grad(psi)+dc:3,1,sdplsOrderAblation,euler+div:linearUpwind/grad(psi)+dc:3,0.5,7,5,0.00390625,0.015625,,,1.393,-0.045,-0.093,-0.008,0.012,1.031
2Dvortex,hex,euler+div:linearUpwind/grad(psi):clGauss+dc:3,1,sdplsOrderAblation,euler+div:linearUpwind/grad(psi):clGauss+dc:3,0.5,7,5,0.00390625,0.015625,,,1.393,-0.045,-0.093,-0.008,0.012,1.031
2Dvortex,hex,euler+div:linearUpwind/grad(psi):flLsq+dc:3,1,sdplsOrderAblation,euler+div:linearUpwind/grad(psi):flLsq+dc:3,0.5,7,4,0.00390625,0.0111111,,,0.763,-0.043,-0.094,-0.014,-0.035,-0.842
2Dvortex,hex,euler+div:linearUpwind/grad(psi):lsq+dc:3,1,sdplsOrderAblation,euler+div:linearUpwind/grad(psi):lsq+dc:3,0.5,7,5,0.00390625,0.015625,,,1.658,-0.044,-0.098,-0.009,0.006,1.255
3Dshear,hex,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,3.0,sdplsConv3Dshear,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,0.5,6,6,0.00492611,0.015625,,1.342,0.956,,,-0.459,0.668,1.773
3Dshear,hex,euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,3.0,sdplsConv3Dshear,euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,0.5,6,6,0.00492611,0.015625,,1.342,0.956,,,-0.461,0.668,1.773
3Dshear,hex,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,3.0,sdplsConv3Dshear,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,0.5,6,6,0.00492611,0.015625,,2.003,4.115,,,-1.158,0.292,3.318
3Dshear,hex,euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,3.0,sdplsConv3Dshear,euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,0.5,6,6,0.00492611,0.015625,,2.003,4.115,,,-1.156,0.292,3.318
3Dshear,hex,euler+div:linearUpwind/grad(psi)+dc:3,3.0,sdplsConv3Dshear,euler+div:linearUpwind/grad(psi)+dc:3,0.5,6,6,0.00492611,0.015625,,2.208,2.574,,,-0.030,-0.094,2.224
3Ddeformation,hex,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,3.0,sdplsConv3Ddeformation,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,0.5,6,6,0.00492611,0.015625,,1.139,3.556,,,-0.577,-0.045,4.319
3Ddeformation,hex,euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,3.0,sdplsConv3Ddeformation,euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,0.5,6,6,0.00492611,0.015625,,1.137,3.499,,,-0.574,-0.023,4.345
3Ddeformation,hex,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,3.0,sdplsConv3Ddeformation,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,0.5,6,6,0.00492611,0.015625,,1.084,-0.621,,,-0.686,-0.442,0.149
3Ddeformation,hex,euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,3.0,sdplsConv3Ddeformation,euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,0.5,6,6,0.00492611,0.015625,,1.084,-0.621,,,-0.687,-0.442,0.149
3Ddeformation,hex,euler+div:linearUpwind/grad(psi)+dc:3,3.0,sdplsConv3Ddeformation,euler+div:linearUpwind/grad(psi)+dc:3,0.5,6,6,0.00492611,0.015625,,1.068,1.262,,,-0.315,-0.914,1.274
