velocityExtension,reconstruction,solver,phaseIndicator,T,h,maxCellSize,cfl,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out
none,uncachedQuadraticWeightedLeastSquares,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.015625,,0.5,0.134408953207,0.000429171941265,0.0155941966997,0.0202716155115,0.961091230847,1.71542574693,0.0190603884973,0.979830203459,0.290302620748,0,UpwindUext,,,,,,
none,signedDistanceQuadraticWeightedLeastSquares,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.015625,,0.5,0.833859395103,0.00723071659402,0.320095879518,1.3180574954,1.49284256374,2.44128581681,0.235598609679,0,0,0,UpwindUext,,,,,,
none,uncachedQuadraticWeightedLeastSquares,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.015625,,1.0,0.136096676185,0.000431303039803,0.0190603884973,0.0361210300929,0.955362650272,1.66580508709,0.012128004902,0.96856038668,0.287780190007,0,UpwindUext,,,,,,
none,signedDistanceQuadraticWeightedLeastSquares,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.015625,,1.0,0.675412336198,0.00406903060545,0.327913607461,1.02810743585,1.13692120644,1.20004180794,0.292889540508,0,0,0,UpwindUext,,,,,,
none,uncachedQuadraticWeightedLeastSquares,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.03125,,0.5,0.19566747566,0.000821060587517,0.0514988072522,0.054796418055,0.918752144041,1.37254768881,0.121598727736,0.924543032958,0,0,UpwindUext,,,,,,
none,signedDistanceQuadraticWeightedLeastSquares,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.03125,,0.5,0.833532348851,0.0102443639666,0.948114660774,0.912128164285,1.26035152426,1.33552820771,0.73946743054,0,0,0,UpwindUext,,,,,,
none,uncachedQuadraticWeightedLeastSquares,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.03125,,1.0,0.199196352004,0.000948307277346,0.0655187913489,0.0772478193106,0.904199335086,0.324289407974,0.107578743639,0.861779118906,0.386841061726,0,UpwindUext,,,,,,
none,signedDistanceQuadraticWeightedLeastSquares,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.03125,,1.0,0.885209634224,0.0055716116063,0.633041641772,1.28944621061,1.25604962643,1.88252350933,0.501526324695,0,0,0,UpwindUext,,,,,,
