method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+dc:3,none,,,,leiaLevelSetFoam,,0.4,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,0,UpwindUext,,,,,,,136,stationaryDropletDtScaling,stationaryDroplet2D_00001,4,e946ef5-dirty,2026-08-13T17:50:50+00:00,,0,0.0355316,,,,leastSquares,Gauss linear,3 (solver default),
euler+dc:3,none,,,,leiaLevelSetFoam,,0.4,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,0,UpwindUext,,,,,,,136,stationaryDropletDtScaling,stationaryDroplet2D_00003,4,e946ef5-dirty,2026-08-13T17:50:50+00:00,,0,0.0390597,,,,leastSquares,Gauss linear,3 (solver default),
euler+dc:3,none,,,,leiaLevelSetFoam,,0.4,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,0,UpwindUext,,,,,,,136,stationaryDropletDtScaling,stationaryDroplet2D_00005,4,e946ef5-dirty,2026-08-13T17:50:50+00:00,,0,0.0457496,,,,leastSquares,Gauss linear,3 (solver default),
euler+dc:3,none,,,,leiaLevelSetFoam,,0.4,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,0,UpwindUext,,,,,,,136,stationaryDropletDtScaling,stationaryDroplet2D_00000,4,e946ef5-dirty,2026-08-13T17:50:50+00:00,,0,0.184001,,,,leastSquares,Gauss linear,3 (solver default),
euler+dc:3,none,,,,leiaLevelSetFoam,,0.4,0.015625,,,,,,,,,,,0.0047300911,,,,,,,,,,,,,,0,UpwindUext,,,,,,,136,stationaryDropletDtScaling,stationaryDroplet2D_00002,4,e946ef5-dirty,2026-08-13T17:50:50+00:00,,0,0.205998,,,,leastSquares,Gauss linear,3 (solver default),
euler+dc:3,none,,,,leiaLevelSetFoam,,0.4,0.015625,,,,,,,,,,,0.0028391622,,,,,,,,,,,,,,0,UpwindUext,,,,,,,136,stationaryDropletDtScaling,stationaryDroplet2D_00004,4,e946ef5-dirty,2026-08-13T17:50:50+00:00,,0,0.228123,,,,leastSquares,Gauss linear,3 (solver default),
