case,mesh,reconstruction,cfl,h,maxCellSize,stable,shapeError,volumeError,gradientError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf
3Dshear,hex,nestedLSQ,0.4,0.03125,,1,0.00230246328396,0.00256045304749,0.307791785862,0.0644946604377,1.33776503265,2.13405108736,0.180004781021,0.726921709028,0.0980583588545
3Dshear,hex,nestedLSQ,0.8,0.03125,,1,0.00323979898706,0.0174020338495,0.33035283158,0.0844980837985,1.33008961913,2.11134327665,0.146733969526,0.762823660096,0.0971761052538
3Ddeformation,hex,nestedLSQ,0.5,0.00625,,1,4.8583984375e-05,0.000155558628318,0.0557104602113,0.00847623839041,3.82081960519,21.6886106905,0.0360550331867,0.947985323139,0.667199515389
3Ddeformation,hex,nestedLSQ,0.5,0.0078125,,1,0.000161170959473,0.00161954247925,0.0625125318951,0.0136110917056,3.66844827275,18.7064447803,0.0973075106282,0.937487580122,0.671227006205
3Ddeformation,hex,nestedLSQ,0.5,0.0125,,1,0.000442268806999,0.00511054617413,0.0800023578225,0.0301294440502,3.31511605858,13.3205961525,0.333409694207,0.900529397806,0.116906719303
3Ddeformation,hex,nestedLSQ,0.5,0.02,,1,0.00123418242031,0.0278857043515,0.103251244653,0.0642671410281,2.92644779106,9.42003960059,0.646749164078,0.770487179261,0.207914548911
3Ddeformation,hex,nestedLSQ,0.5,0.03125,,1,0.00223447730786,0.0877850135253,0.132831639136,0.099658196872,2.53264815202,3.90141160353,1.03215237648,0.591419482956,0.143133489275
3Dshear,poly,nestedLSQ,0.5,0.0078125,0.0078125,1,0.00067138671875,0.000775376731956,6.64949311779,0.213026287711,4.19023939042,2.63373769885,0.00770319927182,0.14581271611,0.135172262629
3Dshear,poly,nestedLSQ,0.5,0.0125,0.0125,1,0.00121607254056,0.0239853125156,4.69049842162,4.1325686597,3.01099874865,2.61970087083,0.042248282335,0.131103194948,0.179640626807
3Dshear,poly,nestedLSQ,0.5,0.02,0.02,1,0.00445473626421,0.202414089638,3.29895938457,7.11740257661,2.32604729159,2.45780573807,0.0846385116066,0.130042989226,0.159689584683
3Dshear,poly,nestedLSQ,0.5,0.03125,0.03125,1,0.00671569216635,0.316921640012,2.13541534803,4.40837728944,1.82859982855,2.25964484591,0.18850989491,0.187861943296,0.148516160947
3Ddeformation,poly,nestedLSQ,0.5,0.0078125,0.0078125,1,0.000666379928589,0.0110140331939,0.226603043602,2.08352998392,3.03243828371,14.7930491047,0.0119079746323,0.584888635721,0.0706199708837
3Ddeformation,poly,nestedLSQ,0.5,0.0125,0.0125,1,0.00145456555845,0.00413302523841,0.242360018983,1.65240351243,2.59175103956,9.86925160376,0.114474440171,0.0791233624301,0.260390189299
3Ddeformation,poly,nestedLSQ,0.5,0.02,0.02,1,0.00284621112621,0.108912332138,0.221172803836,1.03948917496,2.18883660703,3.18105541725,0.281416304956,0.0253487544369,0.0502687960751
3Ddeformation,poly,nestedLSQ,0.5,0.03125,0.03125,1,0.00556722121288,0.346562346627,0.205079801064,0.718388748665,1.8510708531,4.34949415547,0.597127760269,0.0528862950984,0.179220295861
