distance,Ux
0,0
0.00344828,0.147307
0.00689655,0.293251
0.0103448,0.428916
0.0137931,0.55701
0.0172414,0.665361
0.0206897,0.759422
0.0241379,0.83124
0.0275862,0.888687
0.0310345,0.928884
0.0344828,0.959195
0.037931,0.97873
0.0413793,0.993047
0.0448276,1.00143
0.0482759,1.00758
0.0517241,1.01077
0.0551724,1.01317
0.0586207,1.01422
0.062069,1.01493
0.0655172,1.01529
0.0689655,1.01544
0.0724138,1.01553
0.0758621,1.01552
0.0793103,1.01549
0.0827586,1.01544
0.0862069,1.01538
0.0896552,1.01531
0.0931034,1.01525
0.0965517,1.01518
0.1,1.01512
