frame,time,ix,iy,linf,l2,l1,jump_cells
79,0.039996913,46,57,1.954895e-01,1.315899e-02,7.020308e-03,15.033
80,0.040499406,47,71,1.833826e-01,1.358781e-02,7.109371e-03,14.036
81,0.041001899,48,72,2.088276e-01,1.346749e-02,7.177744e-03,1.414
82,0.041496891,47,57,2.364715e-01,1.550648e-02,7.846722e-03,15.033
83,0.041999384,48,71,2.310365e-01,1.652363e-02,8.441488e-03,14.036
84,0.042501877,48,56,2.548039e-01,1.676296e-02,8.831218e-03,15.000
85,0.042996869,49,55,2.439014e-01,1.779952e-02,9.219655e-03,1.414
86,0.043499362,49,56,2.328433e-01,1.758754e-02,9.430539e-03,1.000
87,0.044001855,49,71,2.233725e-01,1.711917e-02,9.448302e-03,15.000
88,0.044496847,48,69,2.124735e-01,1.579065e-02,8.999230e-03,2.236
89,0.04499934,50,71,1.734603e-01,1.499844e-02,8.850294e-03,2.828
90,0.045501833,50,71,1.621652e-01,1.471123e-02,8.799833e-03,0.000
91,0.045996825,49,69,1.359788e-01,1.341436e-02,8.357094e-03,2.236
92,0.046499318,52,54,1.503475e-01,1.375364e-02,8.509943e-03,15.297
93,0.047001811,51,71,1.372683e-01,1.438306e-02,8.852011e-03,17.029
94,0.047496803,50,69,1.053238e-01,1.401542e-02,8.886407e-03,2.236
95,0.047999296,53,54,1.590148e-01,1.499846e-02,9.442208e-03,15.297
96,0.048501789,52,71,1.446562e-01,1.592773e-02,1.015498e-02,17.029
97,0.048996781,53,72,1.104639e-01,1.584107e-02,1.058220e-02,1.414
98,0.049499274,54,54,1.807936e-01,1.747625e-02,1.154325e-02,18.028
99,0.050001767,76,70,1.563710e-01,1.915608e-02,1.271966e-02,27.203
100,0.050496759,54,72,1.494613e-01,1.996549e-02,1.351296e-02,22.091
101,0.050999252,55,54,2.063844e-01,2.226498e-02,1.478089e-02,18.028
102,0.051501745,76,56,1.732417e-01,2.424381e-02,1.608683e-02,21.095
103,0.051996737,55,72,1.601783e-01,2.507455e-02,1.675470e-02,26.401
104,0.05249923,56,54,1.840270e-01,2.671505e-02,1.773103e-02,18.028
105,0.053001723,77,55,1.984896e-01,2.824703e-02,1.879257e-02,21.024
106,0.053496715,75,54,1.450923e-01,2.821439e-02,1.905359e-02,2.236
107,0.053999208,81,61,1.374438e-01,2.898946e-02,1.967203e-02,9.220
108,0.054501701,77,73,1.748227e-01,3.039859e-02,2.079417e-02,12.649
109,0.054996693,76,73,1.364509e-01,3.049710e-02,2.116766e-02,1.000
110,0.055499186,57,63,1.288545e-01,3.142316e-02,2.194967e-02,21.471
111,0.056001679,60,74,1.525193e-01,3.318336e-02,2.325781e-02,11.402
112,0.056496671,54,60,1.507496e-01,3.363909e-02,2.372962e-02,15.232
113,0.056999164,58,63,1.461013e-01,3.496527e-02,2.476639e-02,5.000
114,0.057501657,61,74,1.963257e-01,3.662858e-02,2.599769e-02,11.402
115,0.057996649,82,58,1.654377e-01,3.681451e-02,2.628092e-02,26.401
116,0.058499142,83,58,2.207406e-01,3.846496e-02,2.750642e-02,1.000
117,0.059001635,62,53,1.799202e-01,3.953906e-02,2.836803e-02,21.587
118,0.059496627,81,73,2.017190e-01,4.037742e-02,2.896630e-02,27.586
119,0.05999912,83,56,2.930793e-01,4.170703e-02,2.984017e-02,17.117
