distance,Ux
0,0
0.00344828,0.123811
0.00689655,0.247259
0.0103448,0.364645
0.0137931,0.478185
0.0172414,0.57948
0.0206897,0.672091
0.0241379,0.748804
0.0275862,0.815011
0.0310345,0.86635
0.0344828,0.90871
0.037931,0.939609
0.0413793,0.964435
0.0448276,0.981377
0.0482759,0.994879
0.0517241,1.00342
0.0551724,1.01027
0.0586207,1.01421
0.062069,1.01711
0.0655172,1.01899
0.0689655,1.02013
0.0724138,1.02097
0.0758621,1.02138
0.0793103,1.02169
0.0827586,1.02181
0.0862069,1.02186
0.0896552,1.02188
0.0931034,1.02186
0.0965517,1.02183
0.1,1.02177
