distance,Ux
0,0
0.00344828,0.171472
0.00689655,0.340326
0.0103448,0.49247
0.0137931,0.631063
0.0172414,0.740496
0.0206897,0.829011
0.0241379,0.890687
0.0275862,0.935931
0.0310345,0.964483
0.0344828,0.984218
0.037931,0.995534
0.0413793,1.00322
0.0448276,1.00713
0.0482759,1.00984
0.0517241,1.01101
0.0551724,1.01186
0.0586207,1.01215
0.062069,1.01233
0.0655172,1.01239
0.0689655,1.01239
0.0724138,1.01237
0.0758621,1.01233
0.0793103,1.01229
0.0827586,1.01224
0.0862069,1.01219
0.0896552,1.01213
0.0931034,1.01208
0.0965517,1.01203
0.1,1.01197
