distance,Ux
0,0
0.00344828,0.121743
0.00689655,0.242961
0.0103448,0.358095
0.0137931,0.469482
0.0172414,0.569113
0.0206897,0.660529
0.0241379,0.736855
0.0275862,0.803232
0.0310345,0.855406
0.0344828,0.898942
0.037931,0.93131
0.0413793,0.957673
0.0448276,0.976107
0.0482759,0.991011
0.0517241,1.00072
0.0551724,1.00863
0.0586207,1.01333
0.062069,1.01687
0.0655172,1.01921
0.0689655,1.02068
0.0724138,1.02179
0.0758621,1.02237
0.0793103,1.02281
0.0827586,1.023
0.0862069,1.02311
0.0896552,1.02317
0.0931034,1.02317
0.0965517,1.02315
0.1,1.0231
