distance,Ux
0,0
0.00344828,0.120615
0.00689655,0.240784
0.0103448,0.355006
0.0137931,0.465597
0.0172414,0.564636
0.0206897,0.655633
0.0241379,0.731793
0.0275862,0.79818
0.0310345,0.850579
0.0344828,0.894449
0.037931,0.927267
0.0413793,0.954105
0.0448276,0.973029
0.0482759,0.988399
0.0517241,0.998514
0.0551724,1.0068
0.0586207,1.01179
0.062069,1.01557
0.0655172,1.0181
0.0689655,1.01971
0.0724138,1.02094
0.0758621,1.02159
0.0793103,1.0221
0.0827586,1.02234
0.0862069,1.02248
0.0896552,1.02257
0.0931034,1.02258
0.0965517,1.02258
0.1,1.02255
