distance,Ux
0,0
0.00344828,0.23595
0.00689655,0.460441
0.0103448,0.640187
0.0137931,0.781374
0.0172414,0.872929
0.0206897,0.933823
0.0241379,0.967841
0.0275862,0.988392
0.0310345,0.99869
0.0344828,1.00469
0.037931,1.00737
0.0413793,1.00896
0.0448276,1.00956
0.0482759,1.00994
0.0517241,1.01005
0.0551724,1.01012
0.0586207,1.01013
0.062069,1.01012
0.0655172,1.01011
0.0689655,1.0101
0.0724138,1.01008
0.0758621,1.01006
0.0793103,1.01004
0.0827586,1.01002
0.0862069,1.01
0.0896552,1.00998
0.0931034,1.00996
0.0965517,1.00994
0.1,1.00992
