distance,Ux
0,0
0.00344828,0.120907
0.00689655,0.241369
0.0103448,0.35587
0.0137931,0.466718
0.0172414,0.565957
0.0206897,0.657099
0.0241379,0.733322
0.0275862,0.799713
0.0310345,0.85205
0.0344828,0.895824
0.037931,0.928511
0.0413793,0.955211
0.0448276,0.973992
0.0482759,0.989227
0.0517241,0.999223
0.0551724,1.0074
0.0586207,1.0123
0.062069,1.01601
0.0655172,1.01849
0.0689655,1.02006
0.0724138,1.02125
0.0758621,1.02187
0.0793103,1.02236
0.0827586,1.02259
0.0862069,1.02271
0.0896552,1.02279
0.0931034,1.0228
0.0965517,1.02279
0.1,1.02276
