velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out
none,,planeFootWave,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,0.5,0.03125,,1.0,0.939168395949,0.0497861361438,6.10523674582,0.939498696453,0.939119420092,0.939311054133,6.1019027767,0,0,0,UpwindUext,,,,,,
none,,anchoredEikonal,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,0.5,0.03125,,1.0,0.950620826729,0.0498632678336,6.20814857066,0.950040772058,0.949260371331,0.948768986563,6.23515481807,0,0,0,UpwindUext,,,,,,
none,,noRedistancing,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,0.102404570741,2.91168159326e-05,0.0012284744114,0.0121968768926,0.974899925641,1.67557031649,0.0017902114102,0.974999953254,0.290278553302,0,UpwindUext,,,,,,
none,,PDE,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,2.84728273406,0.00220446399114,0.168064579876,15.0197289316,3.80861135456,16.2151916065,0.171354830395,0,0,0,UpwindUext,,,,,,
none,,planeFootWave,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,0.913697332731,0.051899665674,6.32876065203,0.92399063546,0.911128278309,0.924683334968,5.82809942018,0,0,0,UpwindUext,,,,,,
none,,anchoredEikonal,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,0.950704176796,0.0497012105665,6.04338896066,0.950580172291,0.951196462317,0.949831772589,6.18632887098,0,0,0,UpwindUext,,,,,,
none,,noRedistancing,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.0078125,,1.0,0.102050215848,2.74915892661e-05,0.00126757251215,0.0116340192762,0.974644224442,1.67439952249,0.00145363601083,0.97497587456,0.293396869108,0,UpwindUext,,,,,,
none,,PDE,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.0078125,,1.0,2.84247697344,0.00220063969498,0.16977410092,15.020591425,3.82414870177,16.2184200337,0.171858971948,0,0,0,UpwindUext,,,,,,
none,,planeFootWave,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.0078125,,1.0,0.897755573177,0.0518695859327,6.30184533804,0.913826038077,0.897544954411,0.913938076086,5.84298517754,0,0,0,UpwindUext,,,,,,
none,,anchoredEikonal,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.0078125,,1.0,0.945517305626,0.0489378387279,5.92751185144,0.945793921768,0.942461909248,0.943234254965,6.26587876797,0,0,0,UpwindUext,,,,,,
