method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out
SL:uncachedQuadraticWeightedLeastSquares/pert,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,2.0,1.0006348973238506,0.500303323169,6.4425903011e-05,0.000407907436732,0.0436907732601,1.32951295136,2.11452374869,0.00976131254683,0.973345718479,0.295197224991,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares+qr/pert,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,3.0,1.5009523459857756,0.500303323169,6.4425903011e-05,0.000407907436733,0.0436907732601,1.32951295136,2.11452374869,0.00976131254682,0.973345718479,0.295197224991,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares/pert,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.015625,,0.5,0.0,0.0,1.66202786163,3.98795729386e-05,0.00435273063295,0.263210702419,3.00943190504,4.47342586851,0.00562286879266,0.988986305132,0.764901424331,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares+qr/pert,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.015625,,0.5,1.0,0.5,1.66202786163,3.98795729386e-05,0.00435273063295,0.263210702419,3.00943190504,4.47342586851,0.00562286879266,0.988986305132,0.764901424331,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares/pert,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.03125,,0.5,0.0,0.0,4.5816323381,0.000285214215536,0.0287559631726,1.68135665777,9.69231360985,17.5605457787,0.0461909020766,0.944085937868,0,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares+qr/pert,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.03125,,0.5,0.0,0.0,4.5816323381,0.000285214215536,0.0287559631726,1.68135665777,9.69231360985,17.5605457787,0.0461909020766,0.944085937868,0,0,UpwindUext,,,,,,
