study,case,domainLength,LoverR,N,cells,h,RoverH,dt,tEnd,tCompared,isReference,maxMagU,maxMagU_relDevVsRef,volumeRelError,volumeRelError_relDevVsRef,shapeL2,shapeL2_relDevVsRef,minGradPsiBand,minGradPsiBand_relDevVsRef,pLaplace,pLaplace_relDevVsRef
domainSizeControl10R,stationaryDroplet2D_00000,0.01,10.0,100,10000,0.0001,10.0,1.0861e-05,0.099997227,0.099997227,1,1.560669032e-05,0.0,0.0004217663694,0.0,3.280778251e-07,0.0,0.9956802441,0.0,72.76895437,0.0
domainSizeControl6R,stationaryDroplet2D_00000,0.006,6.0,60,3600,0.0001,10.0,1.0861e-05,0.099997227,0.099997227,0,1.559012551e-05,-0.0010613915993945354,0.0004219135265,0.0003489066712676229,3.285895251e-07,0.0015596909051809663,0.995678972,-1.2776190022277085e-06,72.76852276,-5.931238173524398e-06
domainSizeControl4R,stationaryDroplet2D_00000,0.004,4.0,40,1600,0.0001,10.0,1.0861e-05,0.099997227,0.099997227,0,0.0001920753644,11.30724519175312,0.0002862927261,-0.32120541875522995,3.751468227e-07,0.14346900033750576,0.9964378013,0.0007608438597521796,72.77407374,7.03510177427156e-05
domainSizeControl10R,stationaryDroplet2D_00001,0.01,10.0,200,40000,5e-05,20.0,3.83994e-06,0.09999971748,0.09999971748,1,1.802871519e-05,0.0,2.175780002e-05,0.0,5.25527484e-08,0.0,0.9992924563,0.0,72.75047519,0.0
domainSizeControl6R,stationaryDroplet2D_00001,0.006,6.0,120,14400,5e-05,20.0,3.83994e-06,0.09999971748,0.09999971748,0,1.802340443e-05,-0.00029457229447746265,2.175594442e-05,-8.528435771516267e-05,5.255309951e-08,6.6810968159102126e-06,0.9992923862,-7.014963384740402e-08,72.75024974,-3.0989488304134033e-06
domainSizeControl4R,stationaryDroplet2D_00001,0.004,4.0,80,6400,5e-05,20.0,3.83994e-06,0.09999971748,0.09999971748,0,0.0002910470288,15.14352579941111,8.483871311e-07,-0.9610076786108819,1.084815733e-06,19.64241673419311,0.9980448144,-0.0012485252862004714,72.75079304,4.3690436271614995e-06
