method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,gradientErrorMax,gradientErrorMaxHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,,4e-4,0.03125,,,1.0,2380.988095773818,,1.8444819e-11,0.0046809373,,,,,,0.0014273352,,,,,,,,,,,,,,0,UpwindUext,,,,,,,,tmpKsmoke3D,stationaryDroplet3D_00000,4,6fd326a-dirty,2026-08-19T08:35:18+00:00,,1,0.000419994,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3 (solver default),
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,,4e-4,0.03125,,,1.0,2380.988095773818,,3.9671512e-11,0.01006786,,,,,,0.0041682563,,,,,,,,,,,,,,0,UpwindUext,,,,,,,,tmpKsmoke3D,stationaryDroplet3D_00001,4,6fd326a-dirty,2026-08-19T08:35:18+00:00,,1,0.000419994,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3 (solver default),
