method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,surfaceTensionForce,psiDdt,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,gradientErrorMax,gradientErrorMaxHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,,reconstructedCurvature,EulerDdt,0.02,0.0078125,,,207.0,10348.858003519312,,1.2027876e-09,0.00045649271,,,,,,1.1106876e-05,,,,,,,,,,,,,,0,UpwindUext,,,,,,,,mufGrid2D_jump1000_N128,translatingDroplet2D_00000,4,9b69733,2026-09-03T16:10:22+00:00,,1,0.0200022,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3 (solver default),
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,,reconstructedCurvature,EulerDdt,0.02,0.0078125,,,174.0,8699.040060929276,,1.2038536e-09,0.00072994854,,,,,,0.00015804544,,,,,,,,,,,,,,0,UpwindUext,,,,,,,,mufGrid2D_jump1000_N128,translatingDroplet2D_00001,4,9b69733,2026-09-03T16:10:22+00:00,,1,0.0200022,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3 (solver default),
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,,reconstructedCurvature,EulerDdt,0.02,0.0078125,,,175.0,8749.034544038064,,1.2109687e-09,0.00063523377,,,,,,9.8895038e-05,,,,,,,,,,,,,,0,UpwindUext,,,,,,,,mufGrid2D_jump1000_N128,translatingDroplet2D_00002,4,9b69733,2026-09-03T16:10:22+00:00,,1,0.0200022,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3 (solver default),
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,,reconstructedCurvature,EulerDdt,0.02,0.0078125,,,172.0,8599.051094711698,,1.1964077e-09,0.00036100117,,,,,,1.6713731e-05,,,,,,,,,,,,,,0,UpwindUext,,,,,,,,mufGrid2D_jump1000_N128,translatingDroplet2D_00003,4,9b69733,2026-09-03T16:10:22+00:00,,1,0.0200022,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3 (solver default),
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,,reconstructedCurvature,EulerDdt,0.02,0.0078125,,,152.0,7599.16143253592,,1.2003372e-09,0.00042257399,,,,,,2.9494195e-05,,,,,,,,,,,,,,0,UpwindUext,,,,,,,,mufGrid2D_jump1000_N128,translatingDroplet2D_00004,4,9b69733,2026-09-03T16:10:22+00:00,,1,0.0200022,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3 (solver default),
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,,reconstructedCurvature,EulerDdt,0.02,0.0078125,,,151.0,7549.16694942713,,1.1985158e-09,0.00038406688,,,,,,1.6683829e-05,,,,,,,,,,,,,,0,UpwindUext,,,,,,,,mufGrid2D_jump1000_N128,translatingDroplet2D_00005,4,9b69733,2026-09-03T16:10:22+00:00,,1,0.0200022,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3 (solver default),
