time,maxMagU,x,y,theta,r
0.0,0.0,2e-05,2e-05,225.0,4.214356415871823
0.00020057772,3.674960070353207e-05,0.00406,0.00302,1.0809241866606913,1.0601886624558858
0.00040115544,6.516775433403792e-05,0.00194,0.0029800000000000004,181.08092418666067,1.0601886624558856
0.00059898552,8.14656522067599e-05,0.00194,0.00302,178.9190758133393,1.0601886624558856
0.00079956324,8.719530060171893e-05,0.0029400000000000003,0.00194,266.7602997038979,1.0616967551989598
0.001000141,8.213742175221964e-05,0.0029400000000000003,0.00194,266.7602997038979,1.0616967551989598
0.0012007187,6.125671676698601e-05,0.0030600000000000002,0.00194,273.2397002961021,1.0616967551989598
0.0014012964,3.921322668444509e-05,0.00218,0.0038200000000000005,135.0,1.1596551211459383
0.0015991265,3.299299377371573e-05,0.0019000000000000002,0.0027,195.25511870305778,1.1401754250991378
0.0017997042,5.265922431846512e-05,0.0029800000000000004,0.00194,268.9190758133393,1.0601886624558856
0.0020002819,8.324411730088398e-05,0.00302,0.00194,271.0809241866607,1.0601886624558856
0.0022008596,9.835006211703095e-05,0.00302,0.00194,271.0809241866607,1.0601886624558856
0.0023986897,9.872058527495992e-05,0.0029800000000000004,0.00194,268.9190758133393,1.0601886624558856
0.0025992674,9.500048971652279e-05,0.00222,0.0037400000000000003,136.50743575877496,1.075174404457249
0.0027998452,8.015296234083799e-05,0.00222,0.0037400000000000003,136.50743575877496,1.075174404457249
0.0030004229,5.392774410657887e-05,0.0024200000000000003,0.00386,123.99645914825048,1.037304198391195
0.0032010006,4.148600096173556e-05,0.00202,0.00254,205.14478563067894,1.0825894882179485
0.0033988307,6.437138977720899e-05,0.00302,0.00194,271.0809241866607,1.0601886624558856
0.0035994084,0.00010311706014483709,0.0029800000000000004,0.00194,268.9190758133393,1.0601886624558856
0.0037999861,0.00012080363018891437,0.00302,0.00194,271.0809241866607,1.0601886624558856
0.0040005638,0.00011924528450445553,0.00302,0.00194,271.0809241866607,1.0601886624558856
0.0042011416,0.00010701786648664457,0.00302,0.00194,271.0809241866607,1.0601886624558856
0.0043989716,8.92228742763151e-05,0.0022600000000000003,0.0037800000000000004,133.492564241225,1.075174404457249
0.0045995494,5.787946262194704e-05,0.00222,0.0037800000000000004,135.0,1.1030865786510142
0.0048001271,3.900894182276676e-05,0.0019000000000000002,0.0033000000000000004,164.7448812969422,1.140175425099138
0.0050007048,7.619960322662304e-05,0.0029800000000000004,0.00406,91.08092418666067,1.0601886624558858
0.0052012825,0.00012444839622809622,0.00302,0.00406,88.91907581333932,1.0601886624558858
0.0053991126,0.00014702880044579103,0.00302,0.00194,271.0809241866607,1.0601886624558856
0.0055996903,0.0001458901515305928,0.00302,0.00194,271.0809241866607,1.0601886624558856
0.005800268,0.00013169139379036135,0.00302,0.00194,271.0809241866607,1.0601886624558856
0.0060008458,0.00010949343688997624,0.00222,0.0037400000000000003,136.50743575877496,1.075174404457249
0.0061986758,7.430041606474172e-05,0.00222,0.0037800000000000004,135.0,1.1030865786510142
0.0063992536,5.40152860381541e-05,0.00254,0.00398,115.14478563067894,1.0825894882179485
0.0065998313,7.546664681504618e-05,0.00194,0.00302,178.9190758133393,1.0601886624558856
0.006800409,0.00013279056738153708,0.0029800000000000004,0.00194,268.9190758133393,1.0601886624558856
0.0070009867,0.0001631766369608647,0.0029800000000000004,0.00194,268.9190758133393,1.0601886624558856
0.0071988168,0.0001631437223454105,0.0029800000000000004,0.00194,268.9190758133393,1.0601886624558856
