model,footPoint,L2_finest,Linf_finest,L2_forceWeighted_finest,order_L2,R2,order_Linf,N_finest
quadraticCellCentre,0,13.65871928,74.96657177,9.390211794,0.9606696494935671,0.9986417681016467,0.939655251084506,512
quadraticCellCentre,1,0.2784727192,1.205807134,0.2863713598,1.8962265169215606,0.9987349361042545,1.7284820081800565,512
trHessian,0,13.65415767,75.23227755,9.393855286,0.9772503087321743,0.9988233276976576,0.9697865305032215,512
trHessian,1,0.2763929949,1.46156917,0.2998677425,1.9119528651008886,0.9991959927847097,1.7350015559728516,512
fvmDivGradPsi,0,13.75766618,71.76477256,9.433155486,0.9276494964660282,0.993444018449903,0.7959981821412634,512
fvmDivGradPsi,1,1.083912601,6.313146331,1.017653341,1.8795858699674506,0.9995649550163452,1.6414920628486107,512
fvmTraceGradGradPsi,0,13.75766618,71.76477256,9.433155486,0.9276494964660282,0.993444018449903,0.7959981821412634,512
fvmTraceGradGradPsi,1,1.083912601,6.313146331,1.017653341,1.8795858699674506,0.9995649550163452,1.6414920628486107,512
fvmDivGradAlpha,0,898.4448488,2702.029945,619.9469317,-0.8564533165913201,0.990191698247663,-0.9872208729735698,512
fvmDivGradAlpha,1,877.7314277,2690.973537,615.4884304,-0.9190418837451318,0.9937426790567705,-1.0022515740946203,512
kangQuadratic,0,10.39739624,57.3115129,6.007101573,0.9048447618804512,0.9915205001237096,0.8297070636253886,512
quadraticNewtonFoot,0,13.65463811,74.9279185,9.387007482,0.9310629829115091,0.9976220154990123,0.8861331358874582,512
quadraticClosestPoint,0,13.6554867,74.95785134,9.387080665,0.9239711619318416,0.9971393309471132,0.8716840965343113,512
footPointHeightFunction,0,2.734475704,17.0033598,2.228718025,1.2859225883865892,0.9941481370111891,1.0304870675359667,512
connectedInterface,0,6.937912957,36.12152486,7.572243848,1.1364760918435999,0.9946340439900252,0.9325725366488498,512
interfaceMean,0,505.5590536,1332.459208,506.4959614,-0.032911075308402676,0.7486113137642807,-0.017939823017758136,512
isoConormal,0,165.952677,636.8339772,167.880746,-0.014337693210824159,0.006247464656270019,-0.2275157179028177,512
isoParabola,0,31.23149183,164.8089839,33.31638997,0.20073105504836802,0.978511764145266,-0.0008715635731829591,512
stableFootPoint,1,4.946743501,29.76958399,3.93324254,1.0394295390440902,0.9888393058754829,0.8719558684192116,512
scalarInverse2D,1,0.2784727192,1.205807134,0.2863713598,1.8962265169215606,0.9987349361042545,1.7284820081800565,512
cutCellInverse,1,5.848237277,23.64928449,4.000894461,0.9528838617267177,0.9964399045928563,0.8438756727385621,512
cellMeanInverse,1,5.850654914,23.61576215,4.00474321,0.9717092644843419,0.9978767419236724,0.8474008438744891,512
