TIME,maxMagU,phaseVolumeRelError,m2CosCoefficient,m2SinCoefficient,m2Amplitude,m2Phase,minGradPsiBand,maxGradPsiBand,pLaplace
0.0007636644,0.1613589321,0.0005168571416,8.498038326e-05,2.720956643e-09,8.49803833e-05,1.600932202e-05,0.8485832779,1.212453012,67.96941024
0.0007848773,0.1605870165,0.0005161988915,8.437426069e-05,2.932375754e-09,8.437426074e-05,1.737719376e-05,0.8429893867,1.219988232,67.99644146
0.0008060902,0.1597419831,0.0005128050428,8.375080478e-05,3.224044248e-09,8.375080484e-05,1.924784039e-05,0.8373802146,1.22746956,68.02373467
0.0008273031,0.1588464892,0.0005065695596,8.311029786e-05,3.516399268e-09,8.311029793e-05,2.115501542e-05,0.8317594147,1.234882823,68.051065
0.000848516,0.1579087764,0.0004973968289,8.245297399e-05,3.809752762e-09,8.245297408e-05,2.310257942e-05,0.8261308552,1.242229063,68.07687148
0.0008697289,0.1569448052,0.0004852079145,8.17791943e-05,4.103959776e-09,8.17791944e-05,2.509171072e-05,0.8204984905,1.249508534,68.10296552
0.0008909418,0.155959292,0.0004699106886,8.10893264e-05,4.398705799e-09,8.108932652e-05,2.712259424e-05,0.8148666141,1.256721312,68.12896231
0.0009121547,0.1549578758,0.0004514015656,8.03836295e-05,4.693429437e-09,8.038362963e-05,2.919393825e-05,0.8092396452,1.263867141,68.15479187
0.0009333676,0.1539469956,0.000429581962,7.966236977e-05,4.987529548e-09,7.966236992e-05,3.130417508e-05,0.8036222507,1.270945729,67.07971158
0.0009545805,0.1529269697,0.000404347124,7.89264283e-05,5.200966962e-09,7.892642847e-05,3.294819661e-05,0.7980195405,1.277956866,67.11398078
0.0009757934,0.1518990815,0.00037559745,7.818227017e-05,5.383141604e-09,7.818227036e-05,3.442686931e-05,0.7924367131,1.284900224,67.14816495
0.0009970063,0.1510845684,0.000343248631,7.742287872e-05,5.678323155e-09,7.742287892e-05,3.66708345e-05,0.786878966,1.291775336,67.18227838
0.0010182192,0.1520405862,0.0003072262775,7.664836789e-05,5.972914511e-09,7.664836812e-05,3.896308991e-05,0.7813515814,1.298581663,67.21628403
0.0010394321,0.1529603971,0.0002674607436,7.585900297e-05,6.266786848e-09,7.585900323e-05,4.130549169e-05,0.7758599362,1.305318535,67.25015613
0.001060645,0.1538412192,0.0002238837794,7.505505696e-05,6.559882932e-09,7.505505724e-05,4.370047257e-05,0.7704095101,1.311985199,67.28376572
0.0010818579,0.1546844615,0.0001764273162,7.423681053e-05,6.852190437e-09,7.423681085e-05,4.615089447e-05,0.7650059216,1.318580953,67.31717219
0.0011030708,0.1554838218,0.0001250241945,7.340455236e-05,7.143738411e-09,7.340455271e-05,4.866005008e-05,0.7596548862,1.325104988,67.35020123
0.0011242837,0.1562375124,6.960870001e-05,7.255857899e-05,7.434586618e-09,7.255857937e-05,5.123161654e-05,0.7543622366,1.331556549,67.38287047
