method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,surfaceTensionForce,psiDdt,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,gradientErrorMax,gradientErrorMaxHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,,reconstructedCurvature,EulerDdt,0.02,0.0078125,,,215.0,10748.813868389623,,1.1926935e-09,0.0010553985,,,,,,0.00020304911,,,,,,,,,,,,,,0,UpwindUext,,,,,,,,mufDecide2D_N128,translatingDroplet2D_00000,4,a20e811,2026-09-03T11:38:58+00:00,,1,0.0200022,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3 (solver default),
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,,reconstructedCurvature,EulerDdt,0.02,0.0078125,,,169.0,8449.067645385332,,1.1993007e-09,0.00082955739,,,,,,0.00018207498,,,,,,,,,,,,,,0,UpwindUext,,,,,,,,mufDecide2D_N128,translatingDroplet2D_00001,4,a20e811,2026-09-03T11:38:58+00:00,,1,0.0200022,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3 (solver default),
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,,reconstructedCurvature,EulerDdt,0.02,0.0078125,,,166.0,8299.084196058964,,1.1997824e-09,0.00081722589,,,,,,0.00019002365,,,,,,,,,,,,,,0,UpwindUext,,,,,,,,mufDecide2D_N128,translatingDroplet2D_00002,4,a20e811,2026-09-03T11:38:58+00:00,,1,0.0200022,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3 (solver default),
