candidate,N_CELLS,mesh_variant,mode,epsilon,radius,fit_half_width,regularization_operator,tangential_regularization,regularization_iterations,preserve_modes_through,topology_valid,interface_elements,interface_components,open_endpoints,curvature_fits,curvature_fallbacks,exact_mode_amplitude,raw_mode_amplitude,regularized_mode_amplitude,raw_amplitude_transfer,regularized_amplitude_transfer,raw_phase_error_deg,regularized_phase_error_deg,raw_L2,raw_Linf,raw_relative_L2,raw_relative_Linf,regularized_L2,regularized_Linf,regularized_relative_L2,regularized_relative_Linf,utility_status,row_pass,row_reason
h3_helmholtz_l1,128,uniform,4,0.02,0.001,3,helmholtz,1,30,4,1,108,1,0,108,0,298.984125985,283.194963471,268.823112786,0.947190632741,0.899121690492,0.00256777601209,0.002976148526,21.6278656893,28.210495956,0.0211901109078,0.0219443974145,23.5280157887,40.4737889335,0.0230518013735,0.0314837750677,0,1,ok
h3_helmholtz_l1,128,perturbed,2,0.02,0.001,3,helmholtz,1,30,4,1,103,1,0,103,0,59.9132664145,57.8661545313,56.8184236718,0.965832076839,0.948344616679,3.88494508465,0.914698793619,117.072817224,343.121215621,0.117016357243,0.3245401146,68.9222000926,220.881996946,0.0688889614112,0.208920536937,0,1,ok
h3_helmholtz_l1,128,perturbed,3,0.02,0.001,3,helmholtz,1,30,4,1,101,1,0,101,0,159.893324101,162.985713748,154.655117036,1.01934032997,0.96723936353,0.660360751312,0.557504835179,109.35238224,264.721779525,0.108764600399,0.229513872436,66.3346481037,178.399843858,0.0659780916141,0.154672725,0,1,ok
h3_helmholtz_l1,128,perturbed,4,0.02,0.001,3,helmholtz,1,30,4,1,108,1,0,108,0,299.206931342,282.598894798,268.118946551,0.944493142355,0.89609871452,0.152746940639,0.425045573368,106.500508168,287.341453988,0.104316588091,0.223198585269,68.7738556521,184.850973578,0.0673635656295,0.143586924948,0,1,ok
h4_helmholtz_l4,32,uniform,2,0.02,0.001,4,helmholtz,4,60,4,1,28,1,0,28,0,59.722432511,102.316600831,52.9891629914,1.71320216758,0.887257279443,0.00385281810655,0.0697029603054,259.304837396,331.445714713,0.259149097896,0.31427843129,21.335654899,37.4049638798,0.0213228406212,0.0354675678362,0,1,topology-only coarse point
h4_helmholtz_l4,32,uniform,3,0.02,0.001,4,helmholtz,4,60,4,1,28,1,0,28,0,159.668531205,127.473645243,45.4944132047,0.798364237966,0.284930367063,0.651203435353,0.135596709142,262.301782509,341.284685298,0.260844013517,0.295907452044,83.5053270832,137.45572581,0.0830412376848,0.119179603848,0,1,topology-only coarse point
h4_helmholtz_l4,32,uniform,4,0.02,0.001,4,helmholtz,4,60,4,1,28,1,0,28,0,281.67008644,137.011756925,31.3927750728,0.486426367303,0.111452286146,0.00775094429591,0.00540160027684,283.48214462,546.465772023,0.277874410461,0.442995290861,182.950989097,309.940606549,0.17933192338,0.251254948026,0,1,topology-only coarse point
h4_helmholtz_l4,32,perturbed,2,0.02,0.001,4,helmholtz,4,60,4,1,28,1,0,28,0,59.7096014982,91.9005656024,46.442612601,1.53912542198,0.777808115206,7.79130302762,9.60027443566,261.110601173,363.269172924,0.260984259456,0.344260770916,27.0059521764,54.0367189951,0.0269928849997,0.0512091967212,0,1,topology-only coarse point
h4_helmholtz_l4,32,perturbed,3,0.02,0.001,4,helmholtz,4,60,4,1,28,1,0,28,0,160.822993956,169.660814046,60.5608331238,1.0549537095,0.376568248322,8.53588907066,8.61422315782,265.469019016,332.085122966,0.263872720548,0.287918757099,74.7824942022,131.92294097,0.0743328176962,0.114377569394,0,1,topology-only coarse point
h4_helmholtz_l4,32,perturbed,4,0.02,0.001,4,helmholtz,4,60,4,1,25,1,0,25,0,327.804110817,100.420903345,18.9313140528,0.306344246554,0.0577519116695,10.165184646,7.88968380509,368.494009508,650.497784267,0.360412404893,0.510131131028,211.336318705,353.132688389,0.206701408708,0.276932500137,0,1,topology-only coarse point
