method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,surfaceTensionForce,psiDdt,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,gradientErrorMax,gradientErrorMaxHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,,reconstructedCurvature,EulerDdt,0.003,0.015625,,,2.0,668.6684594336732,,1.5643124e-10,0.0017975899,,,,,,9.4271359e-06,,,,,,,,,,,,,,0,UpwindUext,,,,,,,,oscTraceGate2D,oscillatingDroplet2D_00000,4,54a8854-dirty,2026-08-31T13:32:22+00:00,,1,0.00299102,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3 (solver default),
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,,reconstructedCurvature,EulerDdt,0.003,0.015625,,,2.0,668.6684594336732,,1.5923809e-10,0.0017168261,,,,,,0.00075838729,,,,,,,,,,,,,,0,UpwindUext,,,,,,,,oscTraceGate2D,oscillatingDroplet2D_00001,4,54a8854-dirty,2026-08-31T13:32:19+00:00,,1,0.00299102,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3 (solver default),
