distance,Ux
0,0
0.00344828,0.12074
0.00689655,0.241034
0.0103448,0.355368
0.0137931,0.466057
0.0172414,0.565166
0.0206897,0.65621
0.0241379,0.732387
0.0275862,0.798769
0.0310345,0.851142
0.0344828,0.894974
0.037931,0.927742
0.0413793,0.954529
0.0448276,0.9734
0.0482759,0.98872
0.0517241,0.998792
0.0551724,1.00704
0.0586207,1.012
0.062069,1.01575
0.0655172,1.01827
0.0689655,1.01986
0.0724138,1.02107
0.0758621,1.02172
0.0793103,1.02222
0.0827586,1.02245
0.0862069,1.02258
0.0896552,1.02267
0.0931034,1.02268
0.0965517,1.02268
0.1,1.02265
